File,for loops,while loops,do-while loops,total loops,total nodes
crypto/bn/rsaz-x86_64.c,0,0,6,6,14955
providers/implementations/rands/test_rng.c,0,0,2,2,3336
ssl/quic/quic_obj.c,0,1,2,3,1377
crypto/engine/tb_dh.c,1,0,0,1,423
crypto/bn/x86_64-mont5.c,9,10,22,41,62085
crypto/ec/ecx_meth.c,2,0,0,2,9197
crypto/asn1/tasn_utl.c,0,0,1,1,2711
providers/implementations/ciphers/cipher_seed_hw.c,0,0,4,4,1392
ssl/quic/quic_cfq.c,0,4,2,6,5418
crypto/ec/curve25519.c,1,2,38,41,54945
crypto/ml_dsa/ml_dsa_ntt.c,0,0,8,8,1651
crypto/des/set_key.c,0,0,2,2,2266
crypto/aes/aes_ige.c,0,0,12,12,12424
crypto/bio/bio_lib.c,0,3,7,10,16624
crypto/cmp/cmp_vfy.c,2,1,3,6,10145
crypto/modes/aesni-gcm-x86_64.c,40,0,0,40,9548
crypto/ocsp/ocsp_cl.c,0,0,1,1,3414
crypto/bn/bn_sqr.c,0,0,2,2,1634
crypto/x509/v3_crld.c,3,2,4,9,9173
apps/openssl-bin-fipsinstall.c,6,0,2,8,9819
test/radix/quic_radix_test-bin-quic_radix.c,6,4,5,15,54011
crypto/evp/pmeth_lib.c,0,2,0,2,32229
crypto/des/rand_key.c,0,0,1,1,86
crypto/bn/bn_shift.c,0,0,4,4,2096
crypto/evp/evp_cnf.c,0,1,0,1,667
crypto/x509/x509name.c,0,0,3,3,3600
crypto/ml_dsa/ml_dsa_sample.c,1,2,5,8,3150
crypto/asn1/asn1_gen.c,1,2,4,7,7953
providers/common/provider_util.c,0,0,1,1,4740
test/ml_dsa_test-bin-ml_dsa_test.c,1,1,1,3,12342
crypto/x509/v3_akid.c,0,1,1,2,3230
apps/lib/ca_internals_test-bin-app_provider.c,0,1,1,2,1688
crypto/asn1/t_bitst.c,0,1,1,2,519
crypto/bn/bn_rsa_fips186_4.c,0,3,0,3,2439
apps/openssl-bin-srp.c,6,1,5,12,8513
test/x509_load_cert_file_test-bin-x509_load_cert_file_test.c,1,0,0,1,811
ssl/ssl_sess.c,2,3,5,10,27306
fuzz/pem-test-bin-test-corpus.c,0,1,1,2,967
test/bioprinttest-bin-bioprinttest.c,0,1,3,4,2690
crypto/evp/evp_rand.c,0,2,1,3,9686
crypto/x509/x509_vfy.c,9,8,21,38,46428
crypto/evp/kem.c,0,0,2,2,5569
crypto/ec/ecx_backend.c,1,0,0,1,3837
crypto/rc2/rc2cfb64.c,0,0,2,2,854
crypto/cms/cms_kari.c,1,0,0,1,5915
ssl/statem/extensions_clnt.c,6,3,8,17,29665
crypto/asn1/tasn_new.c,0,0,1,1,4192
fuzz/v3name-test-bin-test-corpus.c,0,1,1,2,967
test/helpers/quic_srt_gen_test-bin-noisydgrambio.c,1,2,6,9,5194
ssl/ssl_mcnf.c,0,0,1,1,1314
test/helpers/ssl_test_ctx_test-bin-ssl_test_ctx.c,0,3,1,4,15542
crypto/des/xcbc_enc.c,0,0,2,2,2625
crypto/sha/sha512-x86_64.c,0,0,12,12,54050
crypto/x509/v3_bcons.c,0,1,0,1,874
crypto/x509/v3_extku.c,0,1,1,2,912
crypto/context.c,1,0,0,1,4708
crypto/bn/bn_mont.c,0,0,4,4,5282
test/helpers/dtls_mtu_test-bin-ssltestlib.c,4,7,12,23,18890
crypto/cmp/cmp_msg.c,0,3,0,3,14812
ssl/d1_srtp.c,0,2,0,2,1081
crypto/rsa/rsa_gen.c,4,2,2,8,8153
crypto/bio/bss_bio.c,0,2,1,3,6642
crypto/x509/x509_vpm.c,1,0,0,1,7250
crypto/evp/e_idea.c,0,0,4,4,1506
crypto/aes/aesni-sha1-x86_64.c,0,3,2,5,45495
providers/implementations/ciphers/ciphercommon_hw.c,0,1,5,6,2642
crypto/cast/c_cfb64.c,0,0,2,2,1088
test/quic_fc_test-bin-quic_fc_test.c,2,0,0,2,6277
ssl/quic/quic_sf_list.c,0,3,3,6,4908
ssl/d1_srtp.c,0,2,0,2,1081
crypto/evp/e_aria.c,0,0,15,15,13655
test/ml_kem_evp_extra_test-bin-ml_kem_evp_extra_test.c,2,1,2,5,5240
crypto/x509/v3_battcons.c,1,0,0,1,779
crypto/encode_decode/encoder_lib.c,0,2,2,4,7544
ssl/quic/quic_lcidm.c,0,0,3,3,8420
crypto/params_dup.c,0,2,6,8,3132
crypto/objects/o_names.c,0,1,2,3,3534
crypto/bn/bn_rand.c,0,8,5,13,8850
fuzz/slh-dsa-test-bin-fuzz_rand.c,0,0,1,1,1942
crypto/bn/rsaz-2k-avx512.c,0,0,1,1,3252
crypto/bn/bn_mod.c,0,0,6,6,3685
test/clienthellotest-bin-clienthellotest.c,0,0,2,2,3019
crypto/x509/v3_rolespec.c,0,1,0,1,1202
providers/implementations/encode_decode/ml_kem_codecs.c,0,1,1,2,5951
crypto/ec/curve448/eddsa.c,1,0,1,2,3412
crypto/bn/rsaz-avx2.c,0,1,5,6,22360
crypto/bn/x86_64-mont.c,8,2,32,42,43008
test/testutil/format_output.c,0,13,13,26,8720
test/ossl_store_test-bin-ossl_store_test.c,0,2,1,3,2242
fuzz/quic-srtm-test-bin-test-corpus.c,0,1,1,2,967
fuzz/bndiv-test-bin-bndiv.c,0,0,2,2,1429
crypto/evp/keymgmt_lib.c,0,0,1,1,5688
crypto/x509/v3_enum.c,0,1,0,1,204
providers/implementations/rands/drbg_hash.c,0,3,10,13,6769
crypto/lhash/lhash.c,0,5,9,14,5196
crypto/ex_data.c,0,1,7,8,5357
test/json_test-bin-json_test.c,1,0,2,3,4021
test/modes_internal_test-bin-modes_internal_test.c,0,0,1,1,3151
crypto/evp/kem.c,0,0,2,2,5569
crypto/ct/ct_sct.c,0,0,1,1,3618
apps/lib/ca_internals_test-bin-apps.c,8,13,23,44,41482
test/fips_version_test-bin-fips_version_test.c,0,1,1,2,382
crypto/bsearch.c,0,1,2,3,370
crypto/modes/xts128gb.c,0,0,1,1,7149
ssl/statem/statem_srvr.c,7,1,7,15,51324
crypto/ripemd/rmd_dgst.c,0,0,4,4,13291
crypto/evp/e_xcbc_d.c,0,0,1,1,640
test/punycode_test-bin-punycode_test.c,3,0,2,5,2566
crypto/thread/internal.c,0,0,1,1,945
crypto/bn/bn_print.c,0,0,1,1,2652
crypto/der_writer.c,0,0,2,2,3894
crypto/rc2/rc2_cbc.c,0,2,4,6,3797
crypto/x509/t_req.c,2,0,2,4,2441
crypto/packet.c,0,1,7,8,8559
providers/implementations/ciphers/cipher_cts.c,0,0,5,5,6269
crypto/bn/bn_prime.c,0,13,9,22,7271
test/tls13encryptiontest-bin-tls13encryptiontest.c,0,1,2,3,2500
crypto/bn/asm/x86_64-gcc.c,0,0,5,5,27596
ssl/priority_queue.c,0,1,6,7,3710
providers/baseprov.c,0,1,1,2,965
providers/implementations/ciphers/cipher_rc2_hw.c,0,0,4,4,1426
providers/implementations/ciphers/cipher_aria_hw.c,1,0,0,1,466
ssl/s3_enc.c,0,0,4,4,5668
apps/openssl-bin-pkcs7.c,6,0,0,6,2076
crypto/sha/sha256-x86_64.c,0,0,18,18,76774
crypto/core_algorithm.c,0,1,1,2,1360
ssl/s3_lib.c,2,1,9,12,23960
crypto/ct/ct_oct.c,3,1,1,5,5464
test/helpers/sslbuffertest-bin-ssltestlib.c,4,7,12,23,18890
crypto/asn1/a_int.c,0,0,14,14,27653
crypto/x509/pcy_map.c,1,0,0,1,588
crypto/sha/sha1dgst.c,0,0,3,3,3269
crypto/ct/ct_prn.c,0,1,1,2,1446
apps/openssl-bin-s_server.c,3,17,18,38,37277
crypto/bn/x86_64-gf2m.c,3,0,0,3,855
test/sparse_array_test-bin-sparse_array_test.c,0,1,7,8,2209
crypto/des/ofb_enc.c,0,1,1,2,4012
apps/columns.c,0,0,1,1,263
providers/implementations/kdfs/hkdf.c,1,0,1,2,7714
crypto/bn/bn_kron.c,0,3,0,3,918
crypto/asn1/tasn_enc.c,5,0,2,7,7113
crypto/srp/srp_lib.c,0,0,1,1,5724
crypto/modes/ocb128.c,3,3,7,13,17618
crypto/o_str.c,0,2,7,9,3446
crypto/dh/dh_key.c,0,0,1,1,4921
crypto/x509/x509_obj.c,0,2,4,6,2082
crypto/cmp/cmp_genm.c,3,0,3,6,5703
providers/implementations/signature/sm2_sig.c,1,0,0,1,6673
crypto/bio/bss_sock.c,1,0,0,1,2269
crypto/des/des_enc.c,0,0,4,4,31311
crypto/modes/ctr128.c,1,2,3,6,7166
crypto/asn1/t_spki.c,0,0,1,1,801
apps/openssl-bin-errstr.c,0,1,1,2,423
crypto/x509/v3_asid.c,2,2,4,8,13776
crypto/param_build.c,0,1,3,4,8726
ssl/quic/json_enc.c,3,1,10,14,16316
ssl/quic/quic_rstream.c,0,2,5,7,6619
crypto/x509/v3_rolespec.c,0,1,0,1,1202
crypto/poly1305/poly1305.c,0,0,2,2,1828
test/asynciotest-bin-asynciotest.c,0,3,6,9,5227
test/v3ext-bin-v3ext.c,0,0,4,4,6847
crypto/bn/bn_gf2m.c,0,6,22,28,12354
crypto/ec/ecp_nistz256.c,1,3,18,22,13713
crypto/lhash/lhash.c,0,5,9,14,5196
fuzz/quic-server-test-bin-test-corpus.c,0,1,1,2,967
apps/openssl-bin-ciphers.c,3,1,1,5,2326
crypto/rc2/rc2_cbc.c,0,2,4,6,3797
apps/openssl-bin-genpkey.c,0,1,1,2,4127
crypto/asn1/t_pkey.c,0,0,2,2,979
crypto/core_namemap.c,0,1,7,8,5714
crypto/bn/bn_x931p.c,0,1,3,4,1733
test/asn1_internal_test-bin-asn1_internal_test.c,0,1,6,7,4028
providers/implementations/ciphers/cipher_sm4_xts_hw.c,1,0,0,1,420
crypto/x509/v3_battcons.c,1,0,0,1,779
crypto/cast/c_skey.c,0,0,1,1,9762
crypto/store/store_register.c,0,0,3,3,2834
test/params_test-bin-params_test.c,0,1,3,4,8934
test/helpers/sslapitest-bin-ssltestlib.c,4,7,12,23,18890
crypto/bio/bio_addr.c,4,1,1,6,6578
crypto/buffer/buffer.c,0,0,2,2,1505
ssl/quic/qlog.c,2,3,4,9,8913
crypto/bio/bss_dgram.c,1,4,9,14,13094
crypto/evp/e_cast.c,0,0,4,4,1509
crypto/des/ofb_enc.c,0,1,1,2,4012
crypto/bn/bn_exp.c,1,5,37,43,19145
fuzz/quic-server-test-bin-quic-server.c,0,0,1,1,4008
crypto/x509/v3_lib.c,2,0,1,3,2851
crypto/x509/x509_att.c,0,0,2,2,5116
apps/lib/uitest-bin-apps_ui.c,0,0,1,1,2029
crypto/asn1/a_bitstr.c,0,1,2,3,2378
crypto/evp/keymgmt_meth.c,0,0,1,1,6524
providers/implementations/ciphers/cipher_aes_xts_hw.c,1,0,0,1,1051
crypto/des/xcbc_enc.c,0,0,2,2,2625
test/helpers/json_test-bin-ssltestlib.c,4,7,12,23,18890
crypto/evp/m_sigver.c,0,0,1,1,9785
providers/implementations/kdfs/pbkdf1.c,0,0,1,1,2841
ssl/quic/quic_rx_depack.c,0,1,1,2,9213
crypto/poly1305/poly1305.c,0,0,2,2,1828
crypto/des/des_enc.c,0,0,4,4,31311
crypto/x509/v3_ncons.c,1,3,15,19,8949
test/curve448_internal_test-bin-curve448_internal_test.c,0,1,2,3,2831
fuzz/quic-rcidm-test-bin-fuzz_rand.c,0,0,1,1,1942
crypto/evp/ec_support.c,0,1,1,2,1296
crypto/x509/v3_pci.c,0,3,1,4,3696
test/cmp_ctx_test-bin-cmp_ctx_test.c,0,0,1,1,58977
crypto/ts/ts_rsp_print.c,0,1,1,2,1511
crypto/encode_decode/encoder_pkey.c,1,0,2,3,3488
apps/openssl-bin-crl.c,0,2,2,4,3343
fuzz/crl-test-bin-test-corpus.c,0,1,1,2,967
crypto/asn1/tasn_prn.c,0,0,3,3,5231
crypto/evp/cmeth_lib.c,1,0,0,1,1514
providers/implementations/macs/blake2s_mac.c,0,0,1,1,2650
providers/implementations/rands/drbg_ctr.c,1,0,6,7,28699
ssl/quic/quic_ackm.c,0,4,10,14,15569
providers/implementations/ciphers/cipher_aes_ocb.c,1,0,0,1,5750
test/asn1_stable_parse_test-bin-asn1_stable_parse_test.c,0,1,0,1,355
ssl/quic/quic_sf_list.c,0,3,3,6,4908
crypto/http/http_lib.c,1,1,0,2,4637
ssl/statem/extensions_srvr.c,0,4,10,14,28169
crypto/asn1/asn1_gen.c,1,2,4,7,7953
crypto/engine/tb_cipher.c,1,0,0,1,925
crypto/asn1/f_int.c,0,0,4,4,1737
crypto/des/des_enc.c,0,0,4,4,31311
providers/implementations/ciphers/cipher_blowfish_hw.c,0,0,4,4,1398
crypto/ec/curve448/curve448.c,2,7,6,15,23092
crypto/provider_conf.c,1,1,3,5,3903
crypto/bf/bf_cfb64.c,0,0,2,2,1088
crypto/evp/ctrl_params_translate.c,5,2,4,11,41577
test/cmactest-bin-cmactest.c,1,0,5,6,4798
test/bio_pw_callback_test-bin-bio_pw_callback_test.c,0,1,1,2,3185
crypto/params.c,1,0,3,4,18602
crypto/ml_dsa/ml_dsa_encoders.c,0,1,29,30,14303
test/tls13ccstest-bin-tls13ccstest.c,0,1,0,1,5519
ssl/statem/statem_srvr.c,7,1,7,15,51324
crypto/sm2/sm2_sign.c,0,0,3,3,5982
fuzz/decoder-test-bin-test-corpus.c,0,1,1,2,967
fuzz/ml-dsa-test-bin-test-corpus.c,0,1,1,2,967
test/helpers/pkcs12_api_test-bin-pkcs12.c,1,2,1,4,10243
crypto/modes/ghash-x86_64.c,130,4,3,137,36049
providers/implementations/ciphers/ciphercommon_gcm.c,0,0,1,1,7654
providers/defltprov.c,0,1,1,2,1004
crypto/objects/obj_dat.c,1,0,6,7,9753
crypto/lhash/lh_stats.c,1,0,3,4,1302
crypto/dh/dh_key.c,0,0,1,1,4921
test/helpers/quicapitest-bin-noisydgrambio.c,1,2,6,9,5194
crypto/ec/ec_print.c,0,0,1,1,840
fuzz/client-test-bin-test-corpus.c,0,1,1,2,967
crypto/idea/i_ofb64.c,0,0,1,1,922
crypto/asn1/i2d_evp.c,0,2,2,4,1494
crypto/asn1/tasn_utl.c,0,0,1,1,2711
crypto/bf/bf_cfb64.c,0,0,2,2,1088
crypto/bio/bss_sock.c,1,0,0,1,2269
fuzz/asn1-test-bin-test-corpus.c,0,1,1,2,967
test/dhtest-bin-dhtest.c,0,0,1,1,12545
fuzz/provider-test-bin-provider.c,0,11,3,14,9615
test/pbelutest-bin-pbelutest.c,0,1,1,2,491
engines/ossltest-dso-e_ossltest.c,0,0,2,2,9572
crypto/rc4/rc4-md5-x86_64.c,0,0,1,1,13075
crypto/cmp/cmp_util.c,2,1,1,4,3561
crypto/engine/tb_cipher.c,1,0,0,1,925
crypto/cast/c_skey.c,0,0,1,1,9762
crypto/cmp/cmp_status.c,0,1,3,4,2962
apps/openssl-bin-dhparam.c,0,1,0,1,3619
crypto/asn1/asn1_parse.c,0,12,30,42,23027
crypto/asn1/asn_moid.c,0,3,1,4,807
providers/implementations/ciphers/cipher_aes_cbc_hmac_sha1_hw.c,5,3,7,15,19709
fuzz/server-test-bin-fuzz_rand.c,0,0,1,1,1942
crypto/x509/v3_aaa.c,1,0,2,3,1643
crypto/des/fcrypt_b.c,0,0,1,1,6535
crypto/ml_dsa/ml_dsa_sign.c,0,1,50,51,10703
providers/implementations/macs/gmac_prov.c,0,0,1,1,2595
test/evp_pkey_provided_test-bin-evp_pkey_provided_test.c,3,9,3,15,35073
crypto/ui/ui_lib.c,1,4,0,5,13886
providers/implementations/ciphers/ciphercommon.c,1,0,0,1,10583
crypto/bio/bio_addr.c,4,1,1,6,6578
test/helpers/quic_radix_test-bin-ssltestlib.c,4,7,12,23,18890
crypto/ec/ecp_nistz256.c,1,3,18,22,13713
crypto/aes/aesni-sha256-x86_64.c,0,0,12,12,62884
ssl/quic/quic_trace.c,0,0,9,9,4267
