File,for loops,while loops,do-while loops,total loops,total nodes
crypto/x509/x_all.c,2,0,0,2,11043
crypto/err/err_save.c,3,0,6,9,4497
test/helpers/ssl_handshake_rtt_test-bin-ssltestlib.c,6,7,12,25,18505
test/helpers/quic_radix_test-bin-quictestlib.c,1,1,11,13,15095
test/helpers/tls13groupselection_test-bin-ssltestlib.c,6,7,12,25,18505
crypto/modes/ghash-x86_64.c,131,4,3,138,35987
providers/implementations/digests/ripemd_prov.c,1,0,0,1,874
crypto/bn/rsaz-3k-avx512.c,3,0,1,4,5192
crypto/hashtable/hashtable.c,3,5,8,16,9896
crypto/des/ofb64ede.c,2,0,1,3,770
crypto/ffc/ffc_params_validate.c,2,0,0,2,1648
crypto/cmp/cmp_genm.c,4,0,3,7,5576
crypto/modes/ccm128.c,17,0,9,26,26251
crypto/chacha/chacha-x86_64.c,3,9,48,60,140299
crypto/sm3/sm3.c,2,0,4,6,19395
crypto/rand/rand_lib.c,1,0,1,2,11059
crypto/des/cbc_enc.c,2,0,2,4,2139
crypto/bn/bn_blind.c,1,0,2,3,4315
crypto/sm3/sm3.c,2,0,4,6,19395
crypto/bn/rsaz-2k-avx512.c,3,0,1,4,3214
ssl/quic/quic_record_rx.c,1,7,4,12,22087
providers/implementations/kdfs/argon2.c,14,6,21,41,37006
crypto/rc4/rc4-x86_64.c,1,1,10,12,7836
crypto/modes/aes-gcm-avx512.c,174,0,0,174,80208
crypto/bf/bf_enc.c,2,0,2,4,4445
crypto/bn/rsaz_exp.c,1,0,3,4,2755
crypto/x509/pcy_cache.c,1,0,1,2,2002
crypto/bn/rsaz_exp_x2.c,6,1,6,13,5537
crypto/evp/e_chacha20_poly1305.c,3,2,5,10,9203
apps/openssl-bin-ca.c,11,4,13,28,26589
crypto/ts/ts_verify_ctx.c,3,0,0,3,2742
ssl/record/methods/tls13_meth.c,1,0,1,2,5296
ssl/statem/extensions_clnt.c,7,3,8,18,28618
crypto/ec/ec_mult.c,4,3,14,21,10408
crypto/ec/curve448/f_generic.c,1,1,9,11,6437
crypto/pem/loader_attic-dso-pvkfmt.c,1,0,0,1,14175
crypto/bn/bn_mul.c,3,5,3,11,5478
test/quic_multistream_test-bin-quic_multistream_test.c,5,4,13,22,54391
crypto/ts/ts_rsp_sign.c,3,0,3,6,9389
crypto/ts/ts_rsp_sign.c,3,0,3,6,9389
crypto/md4/md4_dgst.c,3,0,4,7,4726
test/sslapitest-bin-sslapitest.c,19,4,30,53,181564
crypto/des/des_enc.c,4,0,4,8,31283
crypto/evp/e_aes_cbc_hmac_sha256.c,9,2,7,18,19613
apps/ca_internals_test-bin-ca.c,11,4,13,28,26589
crypto/ffc/ffc_params_validate.c,2,0,0,2,1648
crypto/thread/arch/thread_posix.c,2,0,0,2,2118
crypto/store/store_result.c,1,1,1,3,5191
crypto/bn/rsaz-4k-avx512.c,4,0,2,6,5973
crypto/modes/ctr128.c,3,2,3,8,7144
ssl/quic/qlog.c,4,3,4,11,8828
crypto/md4/md4_dgst.c,3,0,4,7,4726
crypto/deterministic_nonce.c,1,0,2,3,1534
crypto/evp/e_aes_cbc_hmac_sha1.c,9,2,7,18,18436
test/rc4test-bin-rc4test.c,8,0,1,9,1477
crypto/asn1/asn_mime.c,3,24,7,34,15235
crypto/x509/x_all.c,2,0,0,2,11043
crypto/evp/encode.c,1,3,5,9,6246
crypto/des/cfb64ede.c,1,2,4,7,9071
crypto/sha/sha256.c,8,0,3,11,3832
ssl/s3_lib.c,3,1,9,13,23630
crypto/rc2/rc2_skey.c,1,0,4,5,2394
providers/implementations/ciphers/cipher_tdes_default_hw.c,1,0,4,5,2123
crypto/bn/bn_mul.c,3,5,3,11,5478
crypto/x509/pcy_cache.c,1,0,1,2,2002
ssl/quic/quic_wire_pkt.c,5,0,3,8,13728
crypto/rsa/rsa_mp.c,1,0,1,2,982
ssl/record/methods/tls13_meth.c,1,0,1,2,5296
crypto/slh_dsa/slh_wots.c,4,0,9,13,11997
test/evp_pkey_provided_test-bin-evp_pkey_provided_test.c,4,9,3,16,34726
test/helpers/servername_test-bin-ssltestlib.c,6,7,12,25,18505
crypto/bio/bio_addr.c,6,1,1,8,6292
crypto/des/set_key.c,1,0,2,3,2118
crypto/aes/aes_ige.c,8,0,12,20,9944
crypto/ec/curve25519.c,25,2,38,65,52412
crypto/evp/pmeth_lib.c,1,2,0,3,30832
providers/implementations/digests/md5_sha1_prov.c,1,0,0,1,1678
crypto/bn/rsaz-2k-avx512.c,3,0,1,4,3214
test/helpers/asynciotest-bin-ssltestlib.c,6,7,12,25,18505
providers/implementations/ciphers/cipher_aes_ccm_hw.c,1,0,0,1,490
