file,File,Repo,File,for loops,while loops,do-while loops,total,File,File,for loops,while loops,do-while loops,total loops,total nodes,File,for/loops,while/loops,do-while/loops,total/loops,total/nodes
scene/3d/cpu_particles_3d.c,scene/3d/cpu_particles_3d.c,godot,scene/3d/cpu_particles_3d.c,9,2,0,11,scene/3d/cpu_particles_3d.c,scene/3d/cpu_particles_3d.c,33,17,71,121,459283,scene/3d/cpu_particles_3d.c,44,17,71,132,456130
scene/3d/gpu_particles_collision_3d.c,scene/3d/gpu_particles_collision_3d.c,godot,scene/3d/gpu_particles_collision_3d.c,12,5,0,17,scene/3d/gpu_particles_collision_3d.c,scene/3d/gpu_particles_collision_3d.c,16,10,51,77,253869,scene/3d/gpu_particles_collision_3d.c,18,10,51,79,252619
scene/3d/decal.c,scene/3d/decal.c,godot,scene/3d/decal.c,0,0,0,0,scene/3d/decal.c,scene/3d/decal.c,5,1,13,19,111039,scene/3d/decal.c,6,1,13,20,110605
scene/3d/world_environment.c,scene/3d/world_environment.c,godot,scene/3d/world_environment.c,0,0,0,0,scene/3d/world_environment.c,scene/3d/world_environment.c,3,1,9,13,66998,scene/3d/world_environment.c,4,1,9,14,66211
scene/3d/velocity_tracker_3d.c,scene/3d/velocity_tracker_3d.c,godot,scene/3d/velocity_tracker_3d.c,2,0,0,2,scene/3d/velocity_tracker_3d.c,scene/3d/velocity_tracker_3d.c,2,0,10,12,39757,scene/3d/velocity_tracker_3d.c,3,0,10,13,39523
scene/3d/skeleton_ik_3d.c,scene/3d/skeleton_ik_3d.c,godot,scene/3d/skeleton_ik_3d.c,4,5,0,9,scene/3d/skeleton_ik_3d.c,scene/3d/skeleton_ik_3d.c,5,4,20,29,153083,scene/3d/skeleton_ik_3d.c,7,4,20,31,152483
scene/3d/gpu_particles_3d.c,scene/3d/gpu_particles_3d.c,godot,scene/3d/gpu_particles_3d.c,9,0,0,9,scene/3d/gpu_particles_3d.c,scene/3d/gpu_particles_3d.c,7,10,25,42,265701,scene/3d/gpu_particles_3d.c,11,10,25,46,258840
scene/3d/skeleton_3d.c,scene/3d/skeleton_3d.c,godot,scene/3d/skeleton_3d.c,24,3,0,27,scene/3d/skeleton_3d.c,scene/3d/skeleton_3d.c,14,26,81,121,403593,scene/3d/skeleton_3d.c,17,26,81,124,401848
scene/3d/skeleton_modifier_3d.c,scene/3d/skeleton_modifier_3d.c,godot,scene/3d/skeleton_modifier_3d.c,0,0,0,0,scene/3d/skeleton_modifier_3d.c,scene/3d/skeleton_modifier_3d.c,4,3,15,22,57405,scene/3d/skeleton_modifier_3d.c,4,3,15,22,57387
scene/3d/multimesh_instance_3d.c,scene/3d/multimesh_instance_3d.c,godot,scene/3d/multimesh_instance_3d.c,2,0,0,2,scene/3d/multimesh_instance_3d.c,scene/3d/multimesh_instance_3d.c,5,0,6,11,36294,scene/3d/multimesh_instance_3d.c,6,0,6,12,35997
scene/3d/voxel_gi.c,scene/3d/voxel_gi.c,godot,scene/3d/voxel_gi.c,4,1,0,5,scene/3d/voxel_gi.c,scene/3d/voxel_gi.c,12,4,31,47,203400,scene/3d/voxel_gi.c,14,4,29,47,200560
scene/3d/xr_nodes.c,scene/3d/xr_nodes.c,godot,scene/3d/xr_nodes.c,4,0,0,4,scene/3d/xr_nodes.c,scene/3d/xr_nodes.c,10,17,53,80,193516,scene/3d/xr_nodes.c,11,17,52,80,192012
scene/3d/node_3d.c,scene/3d/node_3d.c,godot,scene/3d/node_3d.c,4,2,0,6,scene/3d/node_3d.c,scene/3d/node_3d.c,9,5,24,38,256357,scene/3d/node_3d.c,12,5,24,41,255354
scene/3d/camera_3d.c,scene/3d/camera_3d.c,godot,scene/3d/camera_3d.c,2,0,0,2,scene/3d/camera_3d.c,scene/3d/camera_3d.c,5,5,17,27,265843,scene/3d/camera_3d.c,7,5,17,29,264866
scene/3d/mesh_instance_3d.c,scene/3d/mesh_instance_3d.c,godot,scene/3d/mesh_instance_3d.c,19,0,0,19,scene/3d/mesh_instance_3d.c,scene/3d/mesh_instance_3d.c,21,8,58,87,227268,scene/3d/mesh_instance_3d.c,23,8,58,89,225642
scene/3d/physics/character_body_3d.c,scene/3d/physics/character_body_3d.c,godot,scene/3d/physics/character_body_3d.c,4,0,0,4,scene/3d/physics/character_body_3d.c,scene/3d/physics/character_body_3d.c,17,8,32,57,226926,scene/3d/physics/character_body_3d.c,22,8,32,62,225542
scene/3d/physics/physics_body_3d.c,scene/3d/physics/physics_body_3d.c,godot,scene/3d/physics/physics_body_3d.c,1,0,0,1,scene/3d/physics/physics_body_3d.c,scene/3d/physics/physics_body_3d.c,9,1,25,35,88199,scene/3d/physics/physics_body_3d.c,13,1,25,39,87500
scene/3d/physics/joints/generic_6dof_joint_3d.c,scene/3d/physics/joints/generic_6dof_joint_3d.c,godot,scene/3d/physics/joints/generic_6dof_joint_3d.c,2,0,0,2,scene/3d/physics/joints/generic_6dof_joint_3d.c,scene/3d/physics/joints/generic_6dof_joint_3d.c,5,0,31,36,123806,scene/3d/physics/joints/generic_6dof_joint_3d.c,14,0,31,45,123560
scene/3d/physics/collision_polygon_3d.c,scene/3d/physics/collision_polygon_3d.c,godot,scene/3d/physics/collision_polygon_3d.c,2,0,0,2,scene/3d/physics/collision_polygon_3d.c,scene/3d/physics/collision_polygon_3d.c,4,2,12,18,77213,scene/3d/physics/collision_polygon_3d.c,5,2,12,19,76722
scene/3d/physics/collision_shape_3d.c,scene/3d/physics/collision_shape_3d.c,godot,scene/3d/physics/collision_shape_3d.c,3,0,0,3,scene/3d/physics/collision_shape_3d.c,scene/3d/physics/collision_shape_3d.c,5,6,21,32,83575,scene/3d/physics/collision_shape_3d.c,6,6,21,33,82995
scene/3d/physics/collision_object_3d.c,scene/3d/physics/collision_object_3d.c,godot,scene/3d/physics/collision_object_3d.c,8,1,0,9,scene/3d/physics/collision_object_3d.c,scene/3d/physics/collision_object_3d.c,11,38,73,122,264905,scene/3d/physics/collision_object_3d.c,16,38,73,127,262031
scene/3d/voxelizer.c,scene/3d/voxelizer.c,godot,scene/3d/voxelizer.c,43,3,0,46,scene/3d/voxelizer.c,scene/3d/voxelizer.c,6,14,82,102,103571,scene/3d/voxelizer.c,18,14,79,111,100701
scene/3d/audio_stream_player_3d.c,scene/3d/audio_stream_player_3d.c,godot,scene/3d/audio_stream_player_3d.c,10,0,0,10,scene/3d/audio_stream_player_3d.c,scene/3d/audio_stream_player_3d.c,5,8,47,60,208962,scene/3d/audio_stream_player_3d.c,6,8,47,61,208196
scene/3d/xr_body_modifier_3d.c,scene/3d/xr_body_modifier_3d.c,godot,scene/3d/xr_body_modifier_3d.c,7,0,0,7,scene/3d/xr_body_modifier_3d.c,scene/3d/xr_body_modifier_3d.c,4,4,25,33,68569,scene/3d/xr_body_modifier_3d.c,8,4,25,37,68210
scene/3d/navigation_region_3d.c,scene/3d/navigation_region_3d.c,godot,scene/3d/navigation_region_3d.c,5,0,0,5,scene/3d/navigation_region_3d.c,scene/3d/navigation_region_3d.c,8,8,32,48,163848,scene/3d/navigation_region_3d.c,8,8,32,48,163848
scene/3d/xr_hand_modifier_3d.c,scene/3d/xr_hand_modifier_3d.c,godot,scene/3d/xr_hand_modifier_3d.c,8,0,0,8,scene/3d/xr_hand_modifier_3d.c,scene/3d/xr_hand_modifier_3d.c,4,4,24,32,60001,scene/3d/xr_hand_modifier_3d.c,10,4,24,38,59152
scene/3d/lightmap_gi.c,scene/3d/lightmap_gi.c,godot,scene/3d/lightmap_gi.c,56,0,0,56,scene/3d/lightmap_gi.c,scene/3d/lightmap_gi.c,33,28,105,166,476934,scene/3d/lightmap_gi.c,35,30,102,167,473198
scene/3d/visual_instance_3d.c,scene/3d/visual_instance_3d.c,godot,scene/3d/visual_instance_3d.c,0,0,0,0,scene/3d/visual_instance_3d.c,scene/3d/visual_instance_3d.c,6,9,33,48,236543,scene/3d/visual_instance_3d.c,8,9,33,50,235449
scene/3d/soft_body_3d.c,scene/3d/soft_body_3d.c,godot,scene/3d/soft_body_3d.c,10,0,0,10,scene/3d/soft_body_3d.c,scene/3d/soft_body_3d.c,9,17,57,83,212487,scene/3d/soft_body_3d.c,12,17,57,86,211595
scene/3d/label_3d.c,scene/3d/label_3d.c,godot,scene/3d/label_3d.c,15,0,0,15,scene/3d/label_3d.c,scene/3d/label_3d.c,15,9,47,71,365506,scene/3d/label_3d.c,22,9,47,78,353297
scene/3d/navigation_agent_3d.c,scene/3d/navigation_agent_3d.c,godot,scene/3d/navigation_agent_3d.c,2,1,0,3,scene/3d/navigation_agent_3d.c,scene/3d/navigation_agent_3d.c,10,8,26,44,263337,scene/3d/navigation_agent_3d.c,10,8,26,44,263337
scene/3d/occluder_instance_3d.c,scene/3d/occluder_instance_3d.c,godot,scene/3d/occluder_instance_3d.c,12,0,0,12,scene/3d/occluder_instance_3d.c,scene/3d/occluder_instance_3d.c,16,9,49,74,222274,scene/3d/occluder_instance_3d.c,17,9,49,75,220970
scene/3d/spring_bone_simulator_3d.c,scene/3d/spring_bone_simulator_3d.c,godot,scene/3d/spring_bone_simulator_3d.c,22,2,0,24,scene/3d/spring_bone_simulator_3d.c,scene/3d/spring_bone_simulator_3d.c,10,19,47,76,382228,scene/3d/spring_bone_simulator_3d.c,12,19,47,78,381007
scene/3d/sprite_3d.c,scene/3d/sprite_3d.c,godot,scene/3d/sprite_3d.c,6,1,0,7,scene/3d/sprite_3d.c,scene/3d/sprite_3d.c,12,30,89,131,389002,scene/3d/sprite_3d.c,16,30,89,135,387399
scene/audio/audio_stream_player_internal.c,scene/audio/audio_stream_player_internal.c,godot,scene/audio/audio_stream_player_internal.c,2,1,0,3,scene/audio/audio_stream_player_internal.c,scene/audio/audio_stream_player_internal.c,9,14,36,59,62696,scene/audio/audio_stream_player_internal.c,9,14,36,59,62696
scene/theme/theme_db.c,scene/theme/theme_db.c,godot,scene/theme/theme_db.c,1,4,0,5,scene/theme/theme_db.c,scene/theme/theme_db.c,9,33,86,128,181374,scene/theme/theme_db.c,10,29,78,117,178827
scene/main/window.c,scene/main/window.c,godot,scene/main/window.c,6,4,0,10,scene/main/window.c,scene/main/window.c,11,95,243,349,796684,scene/main/window.c,19,96,235,350,785076
scene/main/node.c,scene/main/node.c,godot,scene/main/node.c,30,28,0,58,scene/main/node.c,scene/main/node.c,74,70,175,319,747851,scene/main/node.c,74,70,175,319,747851
scene/main/scene_tree.c,scene/main/scene_tree.c,godot,scene/main/scene_tree.c,24,2,0,26,scene/main/scene_tree.c,scene/main/scene_tree.c,15,58,169,242,420929,scene/main/scene_tree.c,17,57,165,239,418824
scene/main/multiplayer_peer.c,scene/main/multiplayer_peer.c,godot,scene/main/multiplayer_peer.c,0,1,0,1,scene/main/multiplayer_peer.c,scene/main/multiplayer_peer.c,5,2,32,39,199512,scene/main/multiplayer_peer.c,9,2,32,43,198853
scene/main/resource_preloader.c,scene/main/resource_preloader.c,godot,scene/main/resource_preloader.c,1,1,0,2,scene/main/resource_preloader.c,scene/main/resource_preloader.c,3,9,33,45,91678,scene/main/resource_preloader.c,4,9,33,46,91227
scene/main/viewport.c,scene/main/viewport.c,godot,scene/main/viewport.c,29,21,0,50,scene/main/viewport.c,scene/main/viewport.c,27,79,177,283,901069,scene/main/viewport.c,27,79,177,283,901069
scene/main/canvas_item.c,scene/main/canvas_item.c,godot,scene/main/canvas_item.c,5,4,0,9,scene/main/canvas_item.c,scene/main/canvas_item.c,11,24,112,147,665412,scene/main/canvas_item.c,25,24,112,161,662473
scene/gui/texture_button.c,scene/gui/texture_button.c,godot,scene/gui/texture_button.c,0,0,0,0,scene/gui/texture_button.c,scene/gui/texture_button.c,6,2,9,17,87840,scene/gui/texture_button.c,12,2,9,23,86033
scene/gui/flow_container.c,scene/gui/flow_container.c,godot,scene/gui/flow_container.c,3,0,0,3,scene/gui/flow_container.c,scene/gui/flow_container.c,6,4,22,32,88828,scene/gui/flow_container.c,10,4,22,36,88414
scene/gui/dialogs.c,scene/gui/dialogs.c,godot,scene/gui/dialogs.c,3,0,0,3,scene/gui/dialogs.c,scene/gui/dialogs.c,12,10,39,61,151828,scene/gui/dialogs.c,15,10,39,64,150759
scene/gui/subviewport_container.c,scene/gui/subviewport_container.c,godot,scene/gui/subviewport_container.c,7,0,0,7,scene/gui/subviewport_container.c,scene/gui/subviewport_container.c,8,6,15,29,69688,scene/gui/subviewport_container.c,8,6,15,29,69660
scene/gui/panel_container.c,scene/gui/panel_container.c,godot,scene/gui/panel_container.c,2,0,0,2,scene/gui/panel_container.c,scene/gui/panel_container.c,6,2,7,15,26284,scene/gui/panel_container.c,8,2,7,17,26166
scene/gui/control.c,scene/gui/control.c,godot,scene/gui/control.c,8,9,0,17,scene/gui/control.c,scene/gui/control.c,10,88,231,329,918333,scene/gui/control.c,21,88,231,340,911210
scene/gui/center_container.c,scene/gui/center_container.c,godot,scene/gui/center_container.c,2,0,0,2,scene/gui/center_container.c,scene/gui/center_container.c,7,1,9,17,36115,scene/gui/center_container.c,9,1,9,19,35973
scene/gui/scroll_container.c,scene/gui/scroll_container.c,godot,scene/gui/scroll_container.c,3,0,0,3,scene/gui/scroll_container.c,scene/gui/scroll_container.c,13,8,21,42,140392,scene/gui/scroll_container.c,13,8,21,42,140352
scene/gui/tab_container.c,scene/gui/tab_container.c,godot,scene/gui/tab_container.c,7,0,0,7,scene/gui/tab_container.c,scene/gui/tab_container.c,6,20,46,72,314413,scene/gui/tab_container.c,6,20,46,72,314413
scene/gui/graph_node.c,scene/gui/graph_node.c,godot,scene/gui/graph_node.c,6,1,0,7,scene/gui/graph_node.c,scene/gui/graph_node.c,10,14,40,64,259865,scene/gui/graph_node.c,27,14,39,80,254769
scene/gui/button.c,scene/gui/button.c,godot,scene/gui/button.c,0,0,0,0,scene/gui/button.c,scene/gui/button.c,6,2,10,18,201132,scene/gui/button.c,6,2,10,18,201132
scene/gui/code_edit.c,scene/gui/code_edit.c,godot,scene/gui/code_edit.c,90,3,0,93,scene/gui/code_edit.c,scene/gui/code_edit.c,34,70,202,306,600129,scene/gui/code_edit.c,34,70,202,306,600129
scene/gui/item_list.c,scene/gui/item_list.c,godot,scene/gui/item_list.c,25,8,0,33,scene/gui/item_list.c,scene/gui/item_list.c,16,24,82,122,474192,scene/gui/item_list.c,28,23,80,131,469529
scene/gui/option_button.c,scene/gui/option_button.c,godot,scene/gui/option_button.c,8,0,0,8,scene/gui/option_button.c,scene/gui/option_button.c,11,10,39,60,219503,scene/gui/option_button.c,12,10,36,58,216435
scene/gui/box_container.c,scene/gui/box_container.c,godot,scene/gui/box_container.c,4,1,0,5,scene/gui/box_container.c,scene/gui/box_container.c,7,6,16,29,67503,scene/gui/box_container.c,11,6,16,33,67133
scene/gui/link_button.c,scene/gui/link_button.c,godot,scene/gui/link_button.c,0,0,0,0,scene/gui/link_button.c,scene/gui/link_button.c,5,0,9,14,108154,scene/gui/link_button.c,8,0,9,17,107216
scene/gui/line_edit.c,scene/gui/line_edit.c,godot,scene/gui/line_edit.c,13,1,0,14,scene/gui/line_edit.c,scene/gui/line_edit.c,12,10,46,68,370925,scene/gui/line_edit.c,15,10,45,70,367209
