File,for loops,while loops,do-while loops,total loops,total nodes
thirdparty/meshoptimizer/indexgenerator.c,8,12,33,53,12125
thirdparty/harfbuzz/src/hb-font.c,0,10,19,29,68214
servers/rendering/renderer_rd/effects/copy_effects.c,12,22,156,190,176320
drivers/pulseaudio/audio_driver_pulseaudio.c,2,13,12,27,47752
core/variant/variant_parser.c,13,26,82,121,170821
editor/project_manager/project_list.c,25,38,78,141,184869
editor/plugins/navigation_link_2d_editor_plugin.c,7,2,11,20,42424
modules/gltf/structures/gltf_skin.c,8,20,35,63,117331
thirdparty/embree/kernels/geometry/primitive4.c,10,0,0,10,4891
modules/vhacd/register_types.c,1,3,9,13,11698
editor/property_selector.c,14,14,33,61,94283
servers/display/native_menu.c,2,1,27,30,302364
thirdparty/pcre2/src/pcre2_auto_possess_16.c,1,3,9,13,8159
scene/theme/theme_owner.c,7,13,8,28,14082
scene/gui/link_button.c,5,0,9,14,108154
modules/multiplayer/scene_replication_config.c,14,1,39,54,107630
modules/navigation/register_types.c,0,0,1,1,3516
thirdparty/zstd/decompress/huf_decompress_amd64.c,4,1,1,6,2662
scene/3d/world_environment.c,3,1,9,13,66998
core/io/translation_loader_po.c,4,11,16,31,44735
editor/gui/editor_file_dialog.c,34,47,107,188,486967
modules/dds/texture_loader_dds.c,3,1,26,30,31901
modules/openxr/extensions/openxr_fb_foveation_extension.c,0,1,8,9,15506
drivers/gles3/storage/particles_storage.c,2,42,69,113,147055
modules/gdscript/editor/gdscript_highlighter.c,17,23,70,110,125635
editor/gui/editor_scene_tabs.c,11,12,27,50,89816
scene/2d/physics/shape_cast_2d.c,6,9,23,38,185774
editor/plugins/polygon_3d_editor_plugin.c,16,8,23,47,92982
servers/audio/effects/audio_effect_distortion.c,8,9,20,37,76234
core/io/image.c,11,24,389,424,611762
servers/rendering/renderer_rd/forward_clustered/render_forward_clustered.c,26,99,253,378,657410
thirdparty/meshoptimizer/overdrawoptimizer.c,3,1,14,18,4798
thirdparty/icu4c/common/uset.c,0,1,1,2,6393
editor/plugins/gizmos/marker_3d_gizmo_plugin.c,9,0,12,21,42306
scene/resources/2d/world_boundary_shape_2d.c,5,1,14,20,55064
scene/animation/animation_node_extension.c,5,2,21,28,59028
thirdparty/libktx/lib/dfdutils/createdfd.c,0,1,11,12,5723
thirdparty/icu4c/common/uloc_keytype.c,0,7,11,18,16584
editor/plugins/gizmos/joint_3d_gizmo_plugin.c,5,9,12,26,49183
modules/godot_physics_3d/godot_collision_solver_3d_sat.c,0,3,5,8,15507
servers/rendering/renderer_rd/uniform_set_cache_rd.c,2,1,18,21,22910
thirdparty/libwebp/src/dsp/lossless_enc_sse2.c,2,1,35,38,45023
modules/gltf/skin_tool.c,22,53,118,193,142746
servers/audio/effects/audio_effect_reverb.c,7,1,29,37,62375
thirdparty/embree/kernels/common/alloc.c,0,11,26,37,22308
editor/plugins/gizmos/light_3d_gizmo_plugin.c,5,4,12,21,39665
thirdparty/embree/kernels/bvh/bvh_builder_sah_mb.c,28,43,108,179,385607
thirdparty/libwebp/src/enc/backward_references_enc.c,4,12,32,48,15373
thirdparty/jpeg-compressor/jpgd.c,7,18,86,111,119267
core/io/http_client_tcp.c,3,3,26,32,51920
thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/ScaledShape.c,0,0,3,3,27570
thirdparty/icu4c/common/charstr.c,0,1,3,4,10546
thirdparty/libwebp/src/enc/picture_enc.c,2,0,0,2,3703
modules/gdscript/gdscript_function.c,5,12,61,78,93179
thirdparty/graphite/src/gr_face.c,0,0,2,2,2276
scene/resources/sprite_frames.c,9,39,108,156,205191
thirdparty/libwebp/sharpyuv/sharpyuv.c,0,3,16,19,8009
