File,for loops,while loops,do-while loops,total loops,total nodes
../samples/decompilations/coreutils/lib unictype libcoreutils_a-ctype_punct.c,0,0,0,0,217
../samples/decompilations/coreutils/src sha384sum-digest.c,1,8,12,21,10759
../samples/decompilations/coreutils/src groups.c,1,0,1,2,2030
../samples/decompilations/coreutils/src uname.c,0,1,1,2,2655
../samples/decompilations/coreutils/lib libcoreutils_a-xstrtoul.c,0,1,7,8,2857
../samples/decompilations/coreutils/lib libcoreutils_a-vsnzprintf.c,0,0,0,0,313
../samples/decompilations/coreutils/lib libcoreutils_a-se-selinux.c,0,0,0,0,1170
../samples/decompilations/coreutils/src expand-common.c,0,2,3,5,2999
../samples/decompilations/coreutils/lib libcoreutils_a-physmem.c,0,2,0,2,1112
../samples/decompilations/coreutils/src getlimits.c,0,1,1,2,3787
../samples/decompilations/coreutils/src ls.c,0,0,0,0,1
../samples/decompilations/coreutils/lib libcoreutils_a-areadlinkat-with-size.c,0,1,1,2,627
../samples/decompilations/coreutils/src nproc.c,0,0,2,2,1632
../samples/decompilations/coreutils/lib libcoreutils_a-c-ctype.c,0,0,0,0,628
../samples/decompilations/coreutils/lib unictype libcoreutils_a-ctype_alpha.c,0,0,0,0,217
../samples/decompilations/coreutils/src selinux.c,0,0,0,0,1
../samples/decompilations/coreutils/src stdbuf.c,0,1,4,5,3691
../samples/decompilations/coreutils/lib malloc libcoreutils_a-dynarray_finalize.c,0,0,0,0,276
../samples/decompilations/coreutils/lib libcoreutils_a-basename.c,0,0,0,0,188
../samples/decompilations/coreutils/gnulib-tests timespec-add.c,0,0,0,0,275
../samples/decompilations/coreutils/lib libcoreutils_a-localcharset.c,0,0,0,0,96
../samples/decompilations/coreutils/lib libcoreutils_a-str_endswith.c,0,0,0,0,114
../samples/decompilations/coreutils/lib libcoreutils_a-obstack.c,1,3,0,4,1851
../samples/decompilations/coreutils/src tty.c,0,0,2,2,1587
../samples/decompilations/coreutils/lib glthread libcoreutils_a-lock.c,0,0,0,0,476
