File,for loops,while loops,do-while loops,total
../samples/decompilations/coreutils/lib libcoreutils_a-nstrftime.c,0,0,0,0
../samples/decompilations/coreutils/lib unistr libcoreutils_a-u8-mbtoucr.c,0,0,0,0
../samples/decompilations/coreutils/lib unictype libcoreutils_a-ctype_xdigit.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-chdir-long.c,0,1,1,1
../samples/decompilations/coreutils/src printf.c,1,6,8,7
../samples/decompilations/coreutils/lib libcoreutils_a-hash.c,5,16,14,21
../samples/decompilations/coreutils/src copy.c,4,3,7,7
../samples/decompilations/coreutils/lib libcoreutils_a-c32isgraph.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-filenamecat-lgpl.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-c32ispunct.c,0,0,0,0
../samples/decompilations/coreutils/lib unictype libcoreutils_a-ctype_punct.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-timespec.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-xdectoimax.c,0,0,1,0
../samples/decompilations/coreutils/src uname.c,0,1,1,1
../samples/decompilations/coreutils/src blake2 b2sum-b2sum.c,0,0,1,0
../samples/decompilations/coreutils/lib libcoreutils_a-canonicalize.c,0,2,8,2
../samples/decompilations/coreutils/src nice.c,0,1,2,1
../samples/decompilations/coreutils/lib libcoreutils_a-stripslash.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-sm3.c,0,0,8,0
../samples/decompilations/coreutils/lib libcoreutils_a-md5-stream.c,0,0,1,0
../samples/decompilations/coreutils/lib libcoreutils_a-unistd.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-uinttostr.c,0,0,1,0
../samples/decompilations/coreutils/lib unictype libcoreutils_a-ctype_cntrl.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-file-has-acl.c,0,1,3,1
../samples/decompilations/coreutils/lib libcoreutils_a-c32isspace.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-xgetcwd.c,0,0,0,0
../samples/decompilations/coreutils/src make-prime-list.c,1,2,4,3
../samples/decompilations/coreutils/lib libcoreutils_a-xmalloc.c,0,0,0,0
../samples/decompilations/coreutils/src expr.c,0,5,10,5
../samples/decompilations/coreutils/lib libcoreutils_a-mktime.c,0,2,2,2
../samples/decompilations/coreutils/gnulib-tests unistr u32-set.c,0,0,1,0
../samples/decompilations/coreutils/gnulib-tests pthread-rwlock.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-printf-parse.c,0,3,13,3
../samples/decompilations/coreutils/lib libcoreutils_a-freading.c,0,0,0,0
../samples/decompilations/coreutils/src tac.c,0,5,7,5
../samples/decompilations/coreutils/lib libcoreutils_a-gethrxtime.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-se-context.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-unlinkdir.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-file-type.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-xstrtoimax.c,0,0,8,0
