File,File,Repo,File,for loops,while loops,do-while loops,total,File,File,for loops,while loops,do-while loops,total loops,total nodes,File,for loops,while loops,do-while loops,total loops,total nodes
crypto/ec/curve25519.c,crypto/ec/curve25519.c,openssl,crypto/ec/curve25519.c,54,0,0,54,crypto/ec/curve25519.c,crypto/ec/curve25519.c,1,2,38,41,54945,crypto/ec/curve25519.c,25,2,38,65,52412
crypto/ec/ec_mult.c,crypto/ec/ec_mult.c,openssl,crypto/ec/ec_mult.c,17,0,0,17,crypto/ec/ec_mult.c,crypto/ec/ec_mult.c,0,3,14,17,10834,crypto/ec/ec_mult.c,4,3,14,21,10408
crypto/ec/ecp_smpl.c,crypto/ec/ecp_smpl.c,openssl,crypto/ec/ecp_smpl.c,5,0,4,5,crypto/ec/ecp_smpl.c,crypto/ec/ecp_smpl.c,1,0,8,9,24605,crypto/ec/ecp_smpl.c,4,0,8,12,22537
crypto/ffc/ffc_params_validate.c,crypto/ffc/ffc_params_validate.c,openssl,crypto/ffc/ffc_params_validate.c,0,0,0,0,crypto/ffc/ffc_params_validate.c,crypto/ffc/ffc_params_validate.c,1,0,0,1,1671,crypto/ffc/ffc_params_validate.c,2,0,0,2,1648
crypto/ffc/ffc_params.c,crypto/ffc/ffc_params.c,openssl,crypto/ffc/ffc_params.c,1,0,0,1,crypto/ffc/ffc_params.c,crypto/ffc/ffc_params.c,1,1,0,2,4340,crypto/ffc/ffc_params.c,2,1,0,3,4230
crypto/whrlpool/wp_dgst.c,crypto/whrlpool/wp_dgst.c,openssl,crypto/whrlpool/wp_dgst.c,2,3,1,5,crypto/whrlpool/wp_dgst.c,crypto/whrlpool/wp_dgst.c,1,2,5,8,5126,crypto/whrlpool/wp_dgst.c,11,2,5,18,4447
crypto/rsa/rsa_ossl.c,crypto/rsa/rsa_ossl.c,openssl,crypto/rsa/rsa_ossl.c,4,0,0,4,crypto/rsa/rsa_ossl.c,crypto/rsa/rsa_ossl.c,0,1,3,4,13151,crypto/rsa/rsa_ossl.c,1,1,3,5,12797
crypto/rsa/rsa_mp.c,crypto/rsa/rsa_mp.c,openssl,crypto/rsa/rsa_mp.c,1,0,0,1,crypto/rsa/rsa_mp.c,crypto/rsa/rsa_mp.c,0,0,1,1,1000,crypto/rsa/rsa_mp.c,1,0,1,2,982
crypto/bf/bf_enc.c,crypto/bf/bf_enc.c,openssl,crypto/bf/bf_enc.c,2,0,0,2,crypto/bf/bf_enc.c,crypto/bf/bf_enc.c,0,0,2,2,6665,crypto/bf/bf_enc.c,2,0,2,4,4445
crypto/md4/md4_dgst.c,crypto/md4/md4_dgst.c,openssl,crypto/md4/md4_dgst.c,1,0,0,1,crypto/md4/md4_dgst.c,crypto/md4/md4_dgst.c,0,0,4,4,5036,crypto/md4/md4_dgst.c,3,0,4,7,4726
crypto/modes/cbc128.c,crypto/modes/cbc128.c,openssl,crypto/modes/cbc128.c,10,8,0,18,crypto/modes/cbc128.c,crypto/modes/cbc128.c,0,0,3,3,8142,crypto/modes/cbc128.c,2,0,3,5,7553
crypto/modes/ccm128.c,crypto/modes/ccm128.c,openssl,crypto/modes/ccm128.c,15,2,3,17,crypto/modes/ccm128.c,crypto/modes/ccm128.c,0,0,9,9,27161,crypto/modes/ccm128.c,17,0,9,26,26251
crypto/modes/ctr128.c,crypto/modes/ctr128.c,openssl,crypto/modes/ctr128.c,1,7,4,8,crypto/modes/ctr128.c,crypto/modes/ctr128.c,1,2,3,6,7166,crypto/modes/ctr128.c,3,2,3,8,7144
crypto/modes/ocb128.c,crypto/modes/ocb128.c,openssl,crypto/modes/ocb128.c,5,4,0,9,crypto/modes/ocb128.c,crypto/modes/ocb128.c,3,3,7,13,17618,crypto/modes/ocb128.c,11,3,7,21,13109
crypto/bio/bio_addr.c,crypto/bio/bio_addr.c,openssl,crypto/bio/bio_addr.c,2,1,0,3,crypto/bio/bio_addr.c,crypto/bio/bio_addr.c,4,1,1,6,6578,crypto/bio/bio_addr.c,6,1,1,8,6292
crypto/bio/bss_dgram_pair.c,crypto/bio/bss_dgram_pair.c,openssl,crypto/bio/bss_dgram_pair.c,2,3,0,5,crypto/bio/bss_dgram_pair.c,crypto/bio/bss_dgram_pair.c,2,2,5,9,14157,crypto/bio/bss_dgram_pair.c,5,2,5,12,13507
crypto/rc2/rc2_skey.c,crypto/rc2/rc2_skey.c,openssl,crypto/rc2/rc2_skey.c,3,1,0,4,crypto/rc2/rc2_skey.c,crypto/rc2/rc2_skey.c,0,0,4,4,2570,crypto/rc2/rc2_skey.c,1,0,4,5,2394
crypto/ts/ts_rsp_sign.c,crypto/ts/ts_rsp_sign.c,openssl,crypto/ts/ts_rsp_sign.c,4,1,0,5,crypto/ts/ts_rsp_sign.c,crypto/ts/ts_rsp_sign.c,1,0,3,4,9672,crypto/ts/ts_rsp_sign.c,3,0,3,6,9389
crypto/ripemd/rmd_dgst.c,crypto/ripemd/rmd_dgst.c,openssl,crypto/ripemd/rmd_dgst.c,1,0,0,1,crypto/ripemd/rmd_dgst.c,crypto/ripemd/rmd_dgst.c,0,0,4,4,13291,crypto/ripemd/rmd_dgst.c,3,0,4,7,12981
