File,for/loops,while/loops,do-while/loops,total
modules/godot_physics_2d/godot_body_pair_2d.c,4,6,10,20
crypto/crmf/libcrypto-shlib-crmf_pbm.c,0,0,0,0
crypto/cmp/libcrypto-lib-cmp_hdr.c,0,0,0,0
thirdparty/libwebp/src/dsp/dec_clip_tables.c,0,0,0,0
thirdparty/meshoptimizer/indexgenerator.c,0,0,0,0
thirdparty/libwebp/src/dsp/lossless_enc_mips_dsp_r2.c,0,0,0,0
crypto/evp/libcrypto-lib-evp_fetch.c,2,0,0,2
src/operand2sig.c,0,0,0,0
thirdparty/pcre2/src/pcre2_xclass_32.c,0,0,0,0
thirdparty/harfbuzz/src/hb-font.c,34,10,19,63
crypto/dh/libcrypto-lib-dh_err.c,0,0,0,0
servers/rendering/renderer_rd/effects/copy_effects.c,26,22,156,204
drivers/pulseaudio/audio_driver_pulseaudio.c,9,13,12,34
core/variant/variant_parser.c,17,26,82,125
crypto/asn1/libcrypto-lib-asn1_err.c,0,0,0,0
crypto/asn1/libcrypto-lib-a_i2d_fp.c,0,0,0,0
src/dirname.c,0,0,0,0
test/list_test-bin-list_test.c,0,0,0,0
crypto/pkcs12/libcrypto-lib-p12_p8e.c,0,0,0,0
ssl/libssl-shlib-t1_enc.c,0,0,0,0
editor/project_manager/project_list.c,25,38,78,141
crypto/ec/libcrypto-shlib-ec2_oct.c,0,0,0,0
editor/plugins/navigation_link_2d_editor_plugin.c,7,2,11,20
modules/gltf/structures/gltf_skin.c,11,20,35,66
thirdparty/embree/kernels/geometry/primitive4.c,0,0,0,0
crypto/evp/libcrypto-lib-s_lib.c,1,0,0,1
modules/vhacd/register_types.c,5,3,9,17
test/sslapitest-bin-tls-provider.c,14,3,28,45
crypto/pkcs12/libcrypto-shlib-p12_p8d.c,0,0,0,0
test/gmdifftest-bin-gmdifftest.c,0,0,0,0
editor/property_selector.c,14,14,33,61
servers/display/native_menu.c,36,1,27,64
crypto/ocsp/libcrypto-lib-ocsp_vfy.c,0,0,0,0
thirdparty/pcre2/src/pcre2_auto_possess_16.c,3,3,9,15
crypto/dh/libcrypto-lib-dh_backend.c,0,0,0,0
providers/implementations/encode_decode/libdefault-lib-decode_pvk2key.c,1,0,0,1
scene/theme/theme_owner.c,9,13,8,30
ssl/libssl-lib-t1_lib.c,11,15,59,85
thirdparty/icu4c/common/ustack.c,0,0,0,0
providers/implementations/ciphers/libdefault-lib-cipher_chacha20_hw.c,2,2,3,7
scene/gui/link_button.c,5,0,9,14
src/find-mount-point.c,0,0,0,0
modules/multiplayer/scene_replication_config.c,14,1,39,54
thirdparty/libwebp/src/dsp/upsampling_mips_dsp_r2.c,0,0,0,0
modules/navigation/register_types.c,0,0,0,0
thirdparty/zstd/decompress/huf_decompress_amd64.c,5,1,1,7
platform/linuxbsd/fontconfig-so_wrap.c,0,0,0,0
