File,for/loops,while/loops,do-while/loops,total
crypto/bn/libcrypto-lib-rsaz-2k-avx512.c,0,0,1,1
crypto/bn/libcrypto-lib-bn_mod.c,0,0,6,6
test/clienthellotest-bin-clienthellotest.c,0,0,2,2
crypto/x509/libcrypto-lib-v3_rolespec.c,0,1,0,1
providers/implementations/encode_decode/libdefault-lib-ml_kem_codecs.c,0,1,1,2
crypto/ec/curve448/libcrypto-shlib-eddsa.c,1,0,1,2
crypto/bn/libcrypto-shlib-rsaz-avx2.c,0,1,5,6
crypto/bn/libcrypto-lib-x86_64-mont.c,8,2,32,42
test/testutil/libtestutil-lib-format_output.c,0,13,13,26
test/ossl_store_test-bin-ossl_store_test.c,0,2,1,3
fuzz/quic-srtm-test-bin-test-corpus.c,0,1,1,2
fuzz/bndiv-test-bin-bndiv.c,0,0,2,2
crypto/evp/libcrypto-lib-keymgmt_lib.c,0,0,1,1
crypto/x509/libcrypto-lib-v3_enum.c,0,1,0,1
providers/implementations/rands/libdefault-lib-drbg_hash.c,0,3,10,13
crypto/lhash/libcrypto-lib-lhash.c,0,5,9,14
crypto/libcrypto-shlib-ex_data.c,0,1,7,8
test/json_test-bin-json_test.c,1,0,2,3
test/modes_internal_test-bin-modes_internal_test.c,0,0,1,1
crypto/evp/libcrypto-shlib-kem.c,0,0,2,2
crypto/ct/libcrypto-lib-ct_sct.c,0,0,1,1
apps/lib/ca_internals_test-bin-apps.c,8,13,23,44
test/fips_version_test-bin-fips_version_test.c,0,1,1,2
crypto/libcrypto-lib-bsearch.c,0,1,2,3
crypto/modes/libcrypto-shlib-xts128gb.c,0,0,1,1
ssl/statem/libssl-lib-statem_srvr.c,7,1,7,15
crypto/ripemd/libcrypto-lib-rmd_dgst.c,0,0,4,4
crypto/evp/libcrypto-lib-e_xcbc_d.c,0,0,1,1
test/punycode_test-bin-punycode_test.c,3,0,2,5
crypto/thread/libcrypto-shlib-internal.c,0,0,1,1
crypto/bn/libcrypto-shlib-bn_print.c,0,0,1,1
crypto/libcrypto-shlib-der_writer.c,0,0,2,2
