File,for loops,while loops,do-while loops,total
../samples/decompilations/coreutils/lib libcoreutils_a-mcel.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-mbszero.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-c32ispunct.c,0,0,0,0
../samples/decompilations/coreutils/src sleep.c,0,0,2,2
../samples/decompilations/coreutils/lib libcoreutils_a-btoc32.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-fd-reopen.c,0,0,0,0
../samples/decompilations/coreutils/lib unictype libcoreutils_a-ctype_graph.c,0,0,0,0
../samples/decompilations/coreutils/gnulib-tests vma-iter.c,1,4,3,8
../samples/decompilations/coreutils/lib libcoreutils_a-fd-safer.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-sockets.c,0,0,0,0
../samples/decompilations/coreutils/src mkdir.c,0,0,3,3
../samples/decompilations/coreutils/lib unistr libcoreutils_a-u8-uctomb-aux.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-long-options.c,0,0,0,0
../samples/decompilations/coreutils/src base64-basenc.c,0,2,7,9
../samples/decompilations/coreutils/gnulib-tests getlocalename_l-unsafe.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-c32isxdigit.c,0,0,0,0
../samples/decompilations/coreutils/src prog-fprintf.c,0,0,0,0
../samples/decompilations/coreutils/src expr.c,0,5,10,15
../samples/decompilations/coreutils/lib libcoreutils_a-aszprintf.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-full-read.c,0,0,1,1
../samples/decompilations/coreutils/gnulib-tests xconcat-filename.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-i-ring.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-af_alg.c,0,0,0,0
../samples/decompilations/coreutils/src comm.c,0,4,5,9
../samples/decompilations/coreutils/src pwd.c,1,5,6,12
../samples/decompilations/coreutils/lib libcoreutils_a-argmatch.c,0,1,4,5
../samples/decompilations/coreutils/lib libcoreutils_a-xasprintf.c,0,0,0,0
../samples/decompilations/coreutils/lib unictype libcoreutils_a-ctype_lower.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-exclude.c,1,11,9,21
../samples/decompilations/coreutils/lib libcoreutils_a-fpurge.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-root-dev-ino.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-mbsrtowcs.c,0,1,1,2
../samples/decompilations/coreutils/lib libcoreutils_a-save-cwd.c,0,0,0,0
../samples/decompilations/coreutils/src echo.c,0,2,6,8
../samples/decompilations/coreutils/gnulib-tests bench_md5-bench-md5.c,0,0,2,2
../samples/decompilations/coreutils/lib libcoreutils_a-chdir-long.c,0,1,1,2
../samples/decompilations/coreutils/src cp.c,3,10,4,17
../samples/decompilations/coreutils/lib libcoreutils_a-settime.c,0,0,0,0
../samples/decompilations/coreutils/src basenc-basenc.c,0,9,22,31
../samples/decompilations/coreutils/lib libcoreutils_a-printf-frexpl.c,0,0,0,0
../samples/decompilations/coreutils/src sha1sum-digest.c,1,8,12,21
../samples/decompilations/coreutils/lib libcoreutils_a-open-safer.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-error.c,0,0,0,0
../samples/decompilations/coreutils/gnulib-tests bench_sha1-bench-sha1.c,0,0,2,2
../samples/decompilations/coreutils/lib libcoreutils_a-c-strncasecmp.c,0,0,1,1
../samples/decompilations/coreutils/lib libcoreutils_a-getndelim2.c,0,1,1,2
../samples/decompilations/coreutils/src truncate.c,0,1,3,4
../samples/decompilations/coreutils/src env.c,2,3,13,18
../samples/decompilations/coreutils/lib libcoreutils_a-time.c,0,0,0,0
../samples/decompilations/coreutils/src sha512sum-digest.c,1,8,12,21
