bestandsnaam,voor_origineel,voor_kol2,voor_kol3,voor_kol4,voor_kol5,na_origineel,na_kol2,na_kol3,na_kol4,na_kol5
file,File,for loops,while loops,do-while loops,total,File,for loops,while loops,do-while loops,total
tty.c,../samples/.cache/coreutils/coreutils-9.7/src/tty.c,0,1,0,1,../samples/decompilations/rerolled/src tty.c,0,0,0,0
env.c,../samples/.cache/coreutils/coreutils-9.7/src/env.c,10,7,0,17,../samples/decompilations/rerolled/src env.c,4,3,13,20
nice.c,../samples/.cache/coreutils/coreutils-9.7/src/nice.c,1,0,0,1,../samples/decompilations/rerolled/src nice.c,0,0,0,0
chcon.c,../samples/.cache/coreutils/coreutils-9.7/src/chcon.c,0,2,0,2,../samples/decompilations/rerolled/src chcon.c,0,0,0,0
sleep.c,../samples/.cache/openssl/openssl-3.5.0/crypto/sleep.c,0,1,0,1,../samples/decompilations/rerolled/src sleep.c,0,0,0,0
timeout.c,../samples/.cache/coreutils/coreutils-9.7/src/timeout.c,0,2,0,2,../samples/decompilations/rerolled/src timeout.c,0,0,0,0
copy.c,../samples/.cache/coreutils/coreutils-9.7/src/copy.c,0,7,0,7,../samples/decompilations/rerolled/src copy.c,7,3,7,17
tr.c,../samples/.cache/coreutils/coreutils-9.7/src/tr.c,25,9,1,34,../samples/decompilations/rerolled/src tr.c,3,3,34,40
pr.c,../samples/.cache/coreutils/coreutils-9.7/src/pr.c,31,13,0,44,../samples/decompilations/rerolled/src pr.c,3,12,36,51
iopoll.c,../samples/.cache/coreutils/coreutils-9.7/src/iopoll.c,2,2,0,4,../samples/decompilations/rerolled/src iopoll.c,0,0,0,0
join.c,../samples/.cache/coreutils/coreutils-9.7/src/join.c,9,7,3,16,../samples/decompilations/rerolled/src join.c,0,0,0,0
od.c,../samples/.cache/coreutils/coreutils-9.7/src/od.c,13,11,4,24,../samples/decompilations/rerolled/src od.c,1,7,35,43
coreutils-vdir.c,../samples/.cache/coreutils/coreutils-9.7/src/coreutils-vdir.c,0,0,0,0,,,,,
uname-arch.c,../samples/.cache/coreutils/coreutils-9.7/src/uname-arch.c,0,0,0,0,,,,,
uname-uname.c,../samples/.cache/coreutils/coreutils-9.7/src/uname-uname.c,0,0,0,0,../samples/decompilations/rerolled/src uname-uname.c,0,0,0,0
mkdir.c,../samples/.cache/coreutils/coreutils-9.7/lib/mkdir.c,0,0,0,0,../samples/decompilations/rerolled/src mkdir.c,0,0,0,0
dirname.c,../samples/.cache/coreutils/coreutils-9.7/lib/dirname.c,0,0,0,0,../samples/decompilations/rerolled/src dirname.c,0,0,0,0
runcon.c,../samples/.cache/coreutils/coreutils-9.7/src/runcon.c,0,1,0,1,../samples/decompilations/rerolled/src runcon.c,0,0,0,0
