Repo,File,for loops,while loops,do-while loops,total
coreutil,lib/hash-triple-simple.c,0,0,0,0
coreutil,lib/read.c,0,0,0,0
coreutil,lib/mini-gmp.c,35,28,20,63
coreutil,lib/vasprintf.c,0,0,0,0
coreutil,lib/c-strtod.c,0,5,0,5
coreutil,lib/rmdir.c,0,1,0,1
coreutil,lib/c32ispunct.c,0,0,0,0
coreutil,lib/propername-lite.c,0,0,0,0
coreutil,lib/getlocalename_l-unsafe.c,12,0,0,12
coreutil,lib/unlink.c,0,1,0,1
coreutil,lib/close.c,0,0,0,0
coreutil,lib/ino-map.c,1,0,0,1
coreutil,lib/mbsrtowcs-state.c,0,0,0,0
coreutil,lib/getcwd.c,1,1,1,2
coreutil,lib/unicase/tolower.c,0,0,0,0
coreutil,lib/crc-x86_64-pclmul.c,0,2,0,2
coreutil,lib/nproc.c,7,2,0,9
coreutil,lib/symlinkat.c,0,0,0,0
coreutil,lib/sig2str.c,2,0,0,2
coreutil,lib/randint.c,1,1,2,2
coreutil,lib/btowc.c,0,0,0,0
coreutil,lib/wcwidth.c,0,0,0,0
coreutil,lib/safe-read.c,1,0,0,1
coreutil,lib/signbitf.c,0,0,0,0
coreutil,lib/areadlinkat.c,0,0,0,0
coreutil,lib/mbsinit.c,0,0,0,0
coreutil,lib/glthread/threadlib.c,0,0,0,0
coreutil,lib/glthread/tls.c,0,0,0,0
coreutil,lib/glthread/lock.c,0,4,0,4
coreutil,lib/glthread/once.c,0,0,0,0
coreutil,lib/windows-thread.c,1,0,0,1
coreutil,lib/windows-rwlock.c,3,4,2,7
coreutil,lib/pipe.c,0,0,0,0
coreutil,lib/full-write.c,0,1,0,1
coreutil,lib/readlink.c,0,0,0,0
coreutil,lib/readutmp.c,8,1,0,9
coreutil,lib/msvc-inval.c,0,0,0,0
coreutil,lib/mkostemp.c,0,0,0,0
coreutil,lib/rename.c,0,0,0,0
coreutil,lib/binary-io.c,0,0,0,0
coreutil,lib/acl-errno-valid.c,0,0,0,0
coreutil,lib/filenamecat.c,0,0,0,0
coreutil,lib/fd-reopen.c,0,0,0,0
coreutil,lib/canon-host.c,0,0,0,0
coreutil,lib/quotearg.c,7,1,0,8
coreutil,lib/crc.c,3,0,0,3
coreutil,lib/access.c,0,0,0,0
coreutil,lib/chdir-long.c,0,1,0,1
coreutil,lib/copy-acl.c,0,0,0,0
coreutil,lib/getopt.c,6,4,0,10
coreutil,lib/c-strtold.c,0,0,0,0
coreutil,lib/utimecmp.c,2,0,0,2
coreutil,lib/base32.c,0,4,0,4
coreutil,lib/futimens.c,0,0,0,0
coreutil,lib/fts-cycle.c,0,0,0,0
coreutil,lib/chmod.c,0,0,0,0
coreutil,lib/xgetgroups.c,0,0,0,0
coreutil,lib/unicodeio.c,0,0,0,0
coreutil,lib/wctype-h.c,0,0,0,0
coreutil,lib/windows-cond.c,1,2,0,3
coreutil,lib/strtoull.c,0,0,0,0
coreutil,lib/timegm.c,0,0,0,0
coreutil,lib/vsnzprintf.c,0,0,0,0
coreutil,lib/stdio-read.c,0,0,0,0
coreutil,lib/link.c,0,1,0,1
coreutil,lib/filemode.c,0,0,0,0
coreutil,lib/stat.c,1,4,0,5
coreutil,lib/open-safer.c,0,0,0,0
coreutil,lib/mktime.c,2,2,0,4
coreutil,lib/dirchownmod.c,0,0,0,0
coreutil,lib/yesno.c,0,1,0,1
coreutil,lib/asnprintf.c,0,0,0,0
coreutil,lib/fstatat.c,0,0,0,0
