File,for loops,while loops,do-while loops,total
crypto/ml_kem/libcrypto-shlib-ml_kem.c,6,4,64,74
crypto/modes/libcrypto-lib-aes-gcm-avx512.c,174,0,0,174
crypto/modes/libcrypto-lib-cbc128.c,2,0,3,5
crypto/modes/libcrypto-lib-ccm128.c,17,0,9,26
crypto/modes/libcrypto-lib-ctr128.c,3,2,3,8
crypto/modes/libcrypto-lib-ghash-x86_64.c,131,4,3,138
crypto/modes/libcrypto-lib-ocb128.c,11,3,7,21
crypto/modes/libcrypto-shlib-aes-gcm-avx512.c,174,0,0,174
crypto/modes/libcrypto-shlib-cbc128.c,2,0,3,5
crypto/modes/libcrypto-shlib-ccm128.c,17,0,9,26
crypto/modes/libcrypto-shlib-ctr128.c,3,2,3,8
crypto/modes/libcrypto-shlib-ghash-x86_64.c,131,4,3,138
crypto/modes/libcrypto-shlib-ocb128.c,11,3,7,21
crypto/pem/libcrypto-lib-pem_lib.c,1,1,8,10
crypto/pem/libcrypto-lib-pvkfmt.c,1,0,0,1
crypto/pem/libcrypto-shlib-pem_lib.c,1,1,8,10
crypto/pem/libcrypto-shlib-pvkfmt.c,1,0,0,1
crypto/pem/loader_attic-dso-pvkfmt.c,1,0,0,1
crypto/poly1305/libcrypto-lib-poly1305.c,1,0,2,3
crypto/poly1305/libcrypto-shlib-poly1305.c,1,0,2,3
crypto/rand/libcrypto-lib-rand_lib.c,1,0,1,2
crypto/rand/libcrypto-shlib-rand_lib.c,1,0,1,2
crypto/rc2/libcrypto-lib-rc2_skey.c,1,0,4,5
crypto/rc2/libcrypto-shlib-rc2_skey.c,1,0,4,5
crypto/rc4/libcrypto-lib-rc4-x86_64.c,1,1,10,12
crypto/rc4/libcrypto-shlib-rc4-x86_64.c,1,1,10,12
crypto/rc4/liblegacy-lib-rc4-x86_64.c,1,1,10,12
crypto/ripemd/libcrypto-lib-rmd_dgst.c,3,0,4,7
crypto/ripemd/libcrypto-shlib-rmd_dgst.c,3,0,4,7
crypto/rsa/libcrypto-lib-rsa_mp.c,1,0,1,2
crypto/rsa/libcrypto-lib-rsa_ossl.c,1,1,3,5
crypto/rsa/libcrypto-shlib-rsa_mp.c,1,0,1,2
crypto/rsa/libcrypto-shlib-rsa_ossl.c,1,1,3,5
crypto/seed/libcrypto-lib-seed.c,2,0,0,2
crypto/seed/libcrypto-shlib-seed.c,2,0,0,2
crypto/sha/libcrypto-lib-sha1dgst.c,3,0,3,6
crypto/sha/libcrypto-lib-sha256.c,8,0,3,11
crypto/sha/libcrypto-lib-sha512.c,10,0,1,11
crypto/sha/libcrypto-shlib-sha1dgst.c,3,0,3,6
crypto/sha/libcrypto-shlib-sha256.c,8,0,3,11
crypto/sha/libcrypto-shlib-sha512.c,10,0,1,11
crypto/slh_dsa/libcrypto-lib-slh_wots.c,4,0,9,13
crypto/slh_dsa/libcrypto-shlib-slh_wots.c,4,0,9,13
crypto/sm3/libcrypto-lib-sm3.c,2,0,4,6
crypto/sm3/libcrypto-shlib-sm3.c,2,0,4,6
crypto/store/libcrypto-lib-store_result.c,1,1,1,3
crypto/store/libcrypto-shlib-store_result.c,1,1,1,3
crypto/thread/arch/libcrypto-lib-thread_posix.c,2,0,0,2
crypto/thread/arch/libcrypto-shlib-thread_posix.c,2,0,0,2
crypto/thread/arch/libssl-shlib-thread_posix.c,2,0,0,2
crypto/ts/libcrypto-lib-ts_rsp_sign.c,3,0,3,6
crypto/ts/libcrypto-lib-ts_verify_ctx.c,3,0,0,3
