File,for loops,while loops,do-while loops,total loops,total nodes
lib/libcoreutils_a-safe-read.c,0,1,1,2,139
src/unexpand.c,0,0,7,7,4482
src/blake2/b2sum-blake2b-ref.c,2,0,3,5,21234
lib/libcoreutils_a-mbscasecmp.c,0,0,2,2,1007
src/blake2/cksum-blake2b-ref.c,2,0,3,5,21234
lib/libcoreutils_a-nanosleep.c,0,1,0,1,343
src/base32-basenc.c,0,2,7,9,5000
lib/libcoreutils_a-mpsort.c,0,4,0,4,1168
src/tsort.c,1,3,10,14,25883
src/blake2/b2sum-b2sum.c,0,0,1,1,441
src/md5sum-digest.c,0,8,13,21,10039
lib/libcoreutils_a-getugroups.c,0,2,3,5,755
src/whoami.c,0,0,1,1,1510
gnulib-tests/bench_sha512-bench-sha512.c,0,0,2,2,867
src/remove.c,0,1,4,5,5612
src/install.c,0,2,3,5,8523
src/nl.c,1,2,3,6,4884
gnulib-tests/bench_sha256-bench-sha256.c,0,0,2,2,867
lib/libcoreutils_a-umaxtostr.c,0,0,1,1,134
src/sha224sum-digest.c,1,8,12,21,10759
lib/libcoreutils_a-strintcmp.c,0,4,9,13,1385
lib/libcoreutils_a-parse-datetime.c,0,7,20,27,30179
src/tee.c,0,1,8,9,3896
lib/libcoreutils_a-buffer-lcm.c,0,0,1,1,325
lib/libcoreutils_a-freadseek.c,1,0,1,2,596
lib/libcoreutils_a-mbschr.c,1,0,0,1,520
lib/libcoreutils_a-read-file.c,0,0,1,1,1399
src/link.c,0,0,1,1,1614
rerolled/rerolledlib/libcoreutils_a-readtokens.c,1,2,2,5,1481
rerolled/rerolledsrc/blake2/cksum-blake2b-ref.c,12,0,3,15,18638
rerolled/rerolledsrc/sort.c,5,49,57,111,48779
rerolled/rerolledsrc/blake2/b2sum-blake2b-ref.c,12,0,3,15,18638
rerolled/rerolledlib/libcoreutils_a-i-ring.c,1,0,0,1,423
rerolled/rerolledsrc/copy.c,7,3,7,17,42033
rerolled/rerolledsrc/od.c,1,7,35,43,20161
rerolled/rerolledsrc/printf.c,2,6,8,16,13117
rerolled/rerolledlib/libcoreutils_a-quotearg.c,5,2,5,12,14391
rerolled/rerolledsrc/env.c,4,3,13,20,10174
rerolled/rerolledsrc/cp.c,4,10,4,18,14545
rerolled/rerolledsrc/pr.c,3,12,36,51,20975
rerolled/rerolledlib/libcoreutils_a-sm3.c,1,0,8,9,20603
rerolled/rerolledsrc/tr.c,3,3,34,40,20092
rerolled/rerolledsrc/libcksum_avx2_a-cksum_avx2.c,1,0,3,4,992
rerolled/rerolledlib/libcoreutils_a-sha512.c,6,0,0,6,1127
rerolled/rerolledlib/libcoreutils_a-parse-datetime.c,1,7,20,28,30004
rerolled/rerolledsrc/head.c,3,6,15,24,10619
rerolled/rerolledlib/libcoreutils_a-readtokens0.c,1,0,1,2,1963
