file,File,Repo,File,for loops,while loops,do-while loops,total,File,File,for loops,while loops,do-while loops,total,File,for loops,while loops,do-while loops,total
providers/implementations/digests/blake2s_prov.c,providers/implementations/digests/blake2s_prov.c,openssl,providers/implementations/digests/blake2s_prov.c,7,0,1,7,providers/implementations/digests/blake2s_prov.c,providers/implementations/digests/blake2s_prov.c,2,0,1,2,providers/implementations/digests/blake2s_prov.c,3,0,1,4
providers/implementations/digests/blake2_prov.c,providers/implementations/digests/blake2_prov.c,openssl,providers/implementations/digests/blake2_prov.c,0,0,0,0,providers/implementations/digests/blake2_prov.c,providers/implementations/digests/blake2_prov.c,2,0,0,2,providers/implementations/digests/blake2_prov.c,3,0,0,3
providers/implementations/digests/sha2_prov.c,providers/implementations/digests/sha2_prov.c,openssl,providers/implementations/digests/sha2_prov.c,0,0,0,0,providers/implementations/digests/sha2_prov.c,providers/implementations/digests/sha2_prov.c,0,0,0,0,providers/implementations/digests/sha2_prov.c,8,0,0,8
providers/implementations/digests/md4_prov.c,providers/implementations/digests/md4_prov.c,openssl,providers/implementations/digests/md4_prov.c,0,0,0,0,providers/implementations/digests/md4_prov.c,providers/implementations/digests/md4_prov.c,0,0,0,0,providers/implementations/digests/md4_prov.c,1,0,0,1
apps/lib/apps.c,apps/lib/apps.c,openssl,apps/lib/apps.c,26,11,1,37,apps/lib/apps.c,apps/lib/apps.c,8,13,22,21,apps/lib/apps.c,9,13,22,44
apps/lib/s_cb.c,apps/lib/s_cb.c,openssl,apps/lib/s_cb.c,16,4,0,20,apps/lib/s_cb.c,apps/lib/s_cb.c,3,9,23,12,apps/lib/s_cb.c,4,9,23,36
crypto/hashtable/hashtable.c,crypto/hashtable/hashtable.c,openssl,crypto/hashtable/hashtable.c,13,0,2,13,crypto/hashtable/hashtable.c,crypto/hashtable/hashtable.c,2,5,8,7,crypto/hashtable/hashtable.c,3,5,8,16
crypto/ct/ct_oct.c,crypto/ct/ct_oct.c,openssl,crypto/ct/ct_oct.c,1,2,0,3,crypto/ct/ct_oct.c,crypto/ct/ct_oct.c,3,1,1,4,crypto/ct/ct_oct.c,5,1,1,7
crypto/des/des_enc.c,crypto/des/des_enc.c,openssl,crypto/des/des_enc.c,2,0,0,2,crypto/des/des_enc.c,crypto/des/des_enc.c,0,0,4,0,crypto/des/des_enc.c,4,0,4,8
crypto/des/cbc_enc.c,crypto/des/cbc_enc.c,openssl,crypto/des/cbc_enc.c,0,0,0,0,crypto/des/cbc_enc.c,crypto/des/cbc_enc.c,0,0,2,0,crypto/des/cbc_enc.c,2,0,2,4
crypto/des/cfb_enc.c,crypto/des/cfb_enc.c,openssl,crypto/des/cfb_enc.c,2,2,0,4,crypto/des/cfb_enc.c,crypto/des/cfb_enc.c,0,2,4,2,crypto/des/cfb_enc.c,2,2,4,8
crypto/des/ofb64enc.c,crypto/des/ofb64enc.c,openssl,crypto/des/ofb64enc.c,0,1,0,1,crypto/des/ofb64enc.c,crypto/des/ofb64enc.c,0,0,1,0,crypto/des/ofb64enc.c,2,0,1,3
crypto/des/fcrypt.c,crypto/des/fcrypt.c,openssl,crypto/des/fcrypt.c,4,0,0,4,crypto/des/fcrypt.c,crypto/des/fcrypt.c,0,0,2,0,crypto/des/fcrypt.c,2,0,2,4
crypto/des/cfb64ede.c,crypto/des/cfb64ede.c,openssl,crypto/des/cfb64ede.c,2,4,0,6,crypto/des/cfb64ede.c,crypto/des/cfb64ede.c,0,2,4,2,crypto/des/cfb64ede.c,1,2,4,7
crypto/des/set_key.c,crypto/des/set_key.c,openssl,crypto/des/set_key.c,4,0,0,4,crypto/des/set_key.c,crypto/des/set_key.c,0,0,2,0,crypto/des/set_key.c,1,0,2,3
crypto/des/ofb64ede.c,crypto/des/ofb64ede.c,openssl,crypto/des/ofb64ede.c,0,1,0,1,crypto/des/ofb64ede.c,crypto/des/ofb64ede.c,0,0,1,0,crypto/des/ofb64ede.c,2,0,1,3
crypto/ml_dsa/ml_dsa_key.c,crypto/ml_dsa/ml_dsa_key.c,openssl,crypto/ml_dsa/ml_dsa_key.c,0,0,0,0,crypto/ml_dsa/ml_dsa_key.c,crypto/ml_dsa/ml_dsa_key.c,0,0,11,0,crypto/ml_dsa/ml_dsa_key.c,1,0,11,12
crypto/thread/arch/thread_posix.c,crypto/thread/arch/thread_posix.c,openssl,crypto/thread/arch/thread_posix.c,0,0,0,0,crypto/thread/arch/thread_posix.c,crypto/thread/arch/thread_posix.c,0,0,0,0,crypto/thread/arch/thread_posix.c,2,0,0,2
crypto/poly1305/poly1305.c,crypto/poly1305/poly1305.c,openssl,crypto/poly1305/poly1305.c,0,3,0,3,crypto/poly1305/poly1305.c,crypto/poly1305/poly1305.c,0,0,2,0,crypto/poly1305/poly1305.c,1,0,2,3
crypto/aes/aes_ige.c,crypto/aes/aes_ige.c,openssl,crypto/aes/aes_ige.c,16,8,0,24,crypto/aes/aes_ige.c,crypto/aes/aes_ige.c,0,0,12,0,crypto/aes/aes_ige.c,8,0,12,20
crypto/deterministic_nonce.c,crypto/deterministic_nonce.c,openssl,crypto/deterministic_nonce.c,0,0,1,0,crypto/deterministic_nonce.c,crypto/deterministic_nonce.c,0,0,2,0,crypto/deterministic_nonce.c,1,0,2,3
crypto/hpke/hpke.c,crypto/hpke/hpke.c,openssl,crypto/hpke/hpke.c,2,0,0,2,crypto/hpke/hpke.c,crypto/hpke/hpke.c,1,0,0,1,crypto/hpke/hpke.c,4,0,0,4
crypto/asn1/asn_mime.c,crypto/asn1/asn_mime.c,openssl,crypto/asn1/asn_mime.c,11,6,1,17,crypto/asn1/asn_mime.c,crypto/asn1/asn_mime.c,1,24,7,25,crypto/asn1/asn_mime.c,3,24,7,34
crypto/cmac/cmac.c,crypto/cmac/cmac.c,openssl,crypto/cmac/cmac.c,3,2,0,5,crypto/cmac/cmac.c,crypto/cmac/cmac.c,0,0,6,0,crypto/cmac/cmac.c,1,0,6,7
