bestandsnaam,voor_origineel,voor_kol2,voor_kol3,voor_kol4,voor_kol5,na_origineel,na_kol2,na_kol3,na_kol4,na_kol5
file,File,for loops,while loops,do-while loops,total,File,for loops,while loops,do-while loops,total
libtestutil-lib-apps_shims.c,../samples/decompilations/rerolled/test testutil libtestutil-lib-apps_shims.c,0,0,0,0,,,,,
visual_shader_particle_nodes.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/scene resources visual_shader_particle_nodes.linuxbsd.editor.x86_64.c,26,15,47,88,,,,,
libcrypto-shlib-v3_info.c,../samples/decompilations/rerolled/crypto x509 libcrypto-shlib-v3_info.c,0,0,0,0,,,,,
list.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty enet list.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
libssl-shlib-ssl_utst.c,../samples/decompilations/rerolled/ssl libssl-shlib-ssl_utst.c,0,0,0,0,,,,,
padlock-dso-e_padlock.c,../samples/decompilations/rerolled/engines padlock-dso-e_padlock.c,3,1,14,18,,,,,
libcoreutils_a-sm3.c,../samples/decompilations/rerolled/lib libcoreutils_a-sm3.c,1,0,8,9,,,,,
godot_body_pair_2d.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/modules godot_physics_2d godot_body_pair_2d.linuxbsd.editor.x86_64.c,4,6,10,20,,,,,
libcrypto-shlib-crmf_pbm.c,../samples/decompilations/rerolled/crypto crmf libcrypto-shlib-crmf_pbm.c,0,0,0,0,,,,,
libcrypto-lib-cmp_hdr.c,../samples/decompilations/rerolled/crypto cmp libcrypto-lib-cmp_hdr.c,0,0,0,0,,,,,
dec_clip_tables.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty libwebp src dsp dec_clip_tables.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
indexgenerator.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty meshoptimizer indexgenerator.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
lossless_enc_mips_dsp_r2.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty libwebp src dsp lossless_enc_mips_dsp_r2.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
libcrypto-lib-evp_fetch.c,../samples/decompilations/rerolled/crypto evp libcrypto-lib-evp_fetch.c,2,0,0,2,,,,,
operand2sig.c,../samples/decompilations/rerolled/src operand2sig.c,0,0,0,0,../samples/.cache/coreutils/coreutils-9.7/src/operand2sig.c,1,0,0,1
pcre2_xclass_32.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty pcre2 src pcre2_xclass_32.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
hb-font.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty harfbuzz src hb-font.linuxbsd.editor.x86_64.c,34,10,19,63,,,,,
libcrypto-lib-dh_err.c,../samples/decompilations/rerolled/crypto dh libcrypto-lib-dh_err.c,0,0,0,0,,,,,
