bestandsnaam,voor_origineel,voor_kol2,voor_kol3,voor_kol4,voor_kol5,na_origineel,na_kol2,na_kol3,na_kol4,na_kol5
file,File,for loops,while loops,do-while loops,total loops,total nodes,File,for loops,while loops,do-while loops,total loops,total nodes
ssl/quic/quic_wire.c,ssl/quic/quic_wire.c,0,0,9,9,21140,ssl/quic/quic_wire.c,3,0,9,12,20203
crypto/rand/rand_lib.c,crypto/rand/rand_lib.c,0,0,1,1,11339,crypto/rand/rand_lib.c,1,0,1,2,11059
crypto/rsa/rsa_mp.c,crypto/rsa/rsa_mp.c,0,0,1,1,1000,crypto/rsa/rsa_mp.c,1,0,1,2,982
crypto/hashtable/hashtable.c,crypto/hashtable/hashtable.c,2,5,8,15,10018,crypto/hashtable/hashtable.c,3,5,8,16,9896
ssl/record/methods/ssl3_cbc.c,ssl/record/methods/ssl3_cbc.c,3,0,7,10,13410,ssl/record/methods/ssl3_cbc.c,13,0,7,20,10859
crypto/params_from_text.c,crypto/params_from_text.c,0,0,3,3,3239,crypto/params_from_text.c,1,0,3,4,3169
crypto/rc4/rc4-x86_64.c,crypto/rc4/rc4-x86_64.c,0,1,10,11,8472,crypto/rc4/rc4-x86_64.c,1,1,10,12,7836
crypto/ec/curve448/scalar.c,crypto/ec/curve448/scalar.c,0,1,7,8,9679,crypto/ec/curve448/scalar.c,4,1,7,12,8339
crypto/bn/rsaz-3k-avx512.c,crypto/bn/rsaz-3k-avx512.c,0,0,1,1,5310,crypto/bn/rsaz-3k-avx512.c,3,0,1,4,5192
crypto/des/cfb64ede.c,crypto/des/cfb64ede.c,0,2,4,6,9074,crypto/des/cfb64ede.c,1,2,4,7,9071
crypto/x509/pcy_cache.c,crypto/x509/pcy_cache.c,0,0,1,1,2041,crypto/x509/pcy_cache.c,1,0,1,2,2002
test/rc4test-bin-rc4test.c,test/rc4test-bin-rc4test.c,4,0,1,5,1781,test/rc4test-bin-rc4test.c,8,0,1,9,1477
crypto/bn/rsaz_exp_x2.c,crypto/bn/rsaz_exp_x2.c,4,1,6,11,5892,crypto/bn/rsaz_exp_x2.c,6,1,6,13,5537
crypto/bn/bn_blind.c,crypto/bn/bn_blind.c,0,0,2,2,4345,crypto/bn/bn_blind.c,1,0,2,3,4315
crypto/x509/x_crl.c,crypto/x509/x_crl.c,2,1,2,5,7280,crypto/x509/x_crl.c,3,1,2,6,7211
providers/implementations/kdfs/sshkdf.c,providers/implementations/kdfs/sshkdf.c,0,1,0,1,3742,providers/implementations/kdfs/sshkdf.c,3,1,0,4,3253
crypto/md4/md4_dgst.c,crypto/md4/md4_dgst.c,0,0,4,4,5036,crypto/md4/md4_dgst.c,3,0,4,7,4726
crypto/evp/e_aes_cbc_hmac_sha256.c,crypto/evp/e_aes_cbc_hmac_sha256.c,5,2,7,14,20648,crypto/evp/e_aes_cbc_hmac_sha256.c,9,2,7,18,19613
test/helpers/quic_multistream_test-bin-quictestlib.c,test/helpers/quic_multistream_test-bin-quictestlib.c,0,1,11,12,15422,test/helpers/quic_multistream_test-bin-quictestlib.c,1,1,11,13,15095
crypto/bn/bn_mul.c,crypto/bn/bn_mul.c,1,5,3,9,5704,crypto/bn/bn_mul.c,3,5,3,11,5478
providers/implementations/kdfs/pkcs12kdf.c,providers/implementations/kdfs/pkcs12kdf.c,0,1,6,7,3926,providers/implementations/kdfs/pkcs12kdf.c,3,1,6,10,3702
ssl/ssl_asn1.c,ssl/ssl_asn1.c,3,0,2,5,9847,ssl/ssl_asn1.c,12,0,2,14,8407
crypto/bn/rsaz_exp.c,crypto/bn/rsaz_exp.c,0,0,3,3,2985,crypto/bn/rsaz_exp.c,1,0,3,4,2755
crypto/ml_kem/ml_kem.c,crypto/ml_kem/ml_kem.c,0,4,64,68,137170,crypto/ml_kem/ml_kem.c,6,4,64,74,136836
crypto/ec/ec_mult.c,crypto/ec/ec_mult.c,0,3,14,17,10834,crypto/ec/ec_mult.c,4,3,14,21,10408
test/helpers/quic_multistream_test-bin-ssltestlib.c,test/helpers/quic_multistream_test-bin-ssltestlib.c,4,7,12,23,18890,test/helpers/quic_multistream_test-bin-ssltestlib.c,6,7,12,25,18505
test/quic_client_test-bin-quic_client_test.c,test/quic_client_test-bin-quic_client_test.c,0,0,2,2,2681,test/quic_client_test-bin-quic_client_test.c,1,0,2,3,2590
providers/implementations/kdfs/sskdf.c,providers/implementations/kdfs/sskdf.c,1,3,0,4,7398,providers/implementations/kdfs/sskdf.c,2,3,0,5,7085
test/sslapitest-bin-sslapitest.c,test/sslapitest-bin-sslapitest.c,12,4,30,46,182982,test/sslapitest-bin-sslapitest.c,19,4,30,53,181564
engines/loader_attic-dso-e_loader_attic.c,engines/loader_attic-dso-e_loader_attic.c,3,1,9,13,17637,engines/loader_attic-dso-e_loader_attic.c,4,1,9,14,17301
test/helpers/quicfaultstest-bin-ssltestlib.c,test/helpers/quicfaultstest-bin-ssltestlib.c,4,7,12,23,18890,test/helpers/quicfaultstest-bin-ssltestlib.c,6,7,12,25,18505
test/helpers/quicfaultstest-bin-quictestlib.c,test/helpers/quicfaultstest-bin-quictestlib.c,0,1,11,12,15422,test/helpers/quicfaultstest-bin-quictestlib.c,1,1,11,13,15095
crypto/ml_dsa/ml_dsa_key.c,crypto/ml_dsa/ml_dsa_key.c,0,0,11,11,9238,crypto/ml_dsa/ml_dsa_key.c,1,0,11,12,9044
test/quic_txp_test-bin-quic_txp_test.c,test/quic_txp_test-bin-quic_txp_test.c,1,1,2,4,11551,test/quic_txp_test-bin-quic_txp_test.c,3,1,2,6,11547
engines/afalg-dso-e_afalg.c,engines/afalg-dso-e_afalg.c,1,1,2,4,8253,engines/afalg-dso-e_afalg.c,5,1,2,8,7687
