File,for loops,while loops,do-while loops,total
providers/implementations/keymgmt/libdefault-lib-mac_legacy_kmgmt.c,0,0,0,0
crypto/bio/libcrypto-lib-bss_null.c,0,0,0,0
test/testutil/libtestutil-lib-stanza.c,1,0,4,1
crypto/engine/libcrypto-lib-tb_cipher.c,1,0,0,1
test/defltfips_test-bin-defltfips_test.c,0,0,0,0
ssl/statem/libssl-lib-statem_clnt.c,4,0,4,4
crypto/des/libcrypto-lib-des_enc.c,0,0,4,0
providers/implementations/ciphers/libdefault-lib-cipher_tdes_hw.c,1,0,2,1
test/params_conversion_test-bin-params_conversion_test.c,1,1,0,2
crypto/sm2/libcrypto-lib-sm2_crypt.c,0,1,5,1
crypto/evp/libcrypto-lib-evp_enc.c,3,0,10,3
crypto/libcrypto-shlib-sparse_array.c,1,2,7,3
test/igetest-bin-igetest.c,0,0,12,0
crypto/libcrypto-lib-cpt_err.c,0,0,0,0
crypto/asn1/libcrypto-lib-x_info.c,0,0,0,0
crypto/engine/libcrypto-shlib-eng_table.c,0,1,3,1
crypto/asn1/libcrypto-lib-a_object.c,0,1,6,1
crypto/asn1/libcrypto-shlib-asn1_err.c,0,0,0,0
crypto/cms/libcrypto-lib-cms_env.c,0,5,1,5
crypto/pkcs12/libcrypto-lib-p12_crpt.c,0,0,0,0
crypto/dsa/libcrypto-shlib-dsa_prn.c,0,0,0,0
ssl/rio/libssl-shlib-poll_builder.c,0,0,3,0
test/helpers/ssl_handshake_rtt_test-bin-ssltestlib.c,4,7,12,11
apps/openssl-bin-speed.c,41,117,129,158
crypto/engine/libcrypto-lib-tb_rsa.c,1,0,0,1
crypto/bn/libcrypto-lib-bn_depr.c,0,0,0,0
crypto/encode_decode/libcrypto-lib-decoder_err.c,0,0,0,0
fuzz/asn1-test-bin-fuzz_rand.c,0,0,1,0
crypto/engine/libcrypto-lib-eng_fat.c,0,1,1,1
test/tls13groupselection_test-bin-tls13groupselection_test.c,0,0,0,0
crypto/ec/libcrypto-shlib-ecdsa_ossl.c,0,0,7,0
crypto/evp/libcrypto-lib-legacy_sha.c,0,0,0,0
crypto/evp/libcrypto-shlib-legacy_ripemd.c,0,0,0,0
crypto/x509/libcrypto-lib-t_req.c,2,0,2,2
providers/implementations/ciphers/libdefault-lib-cipher_aes_gcm.c,0,0,0,0
crypto/asn1/libcrypto-shlib-asn_pack.c,0,0,0,0
crypto/ui/libcrypto-shlib-ui_openssl.c,1,1,3,2
crypto/ml_dsa/libcrypto-shlib-ml_dsa_sign.c,0,1,50,1
crypto/ess/libcrypto-lib-ess_asn1.c,0,0,0,0
crypto/libcrypto-shlib-bsearch.c,0,1,2,1
crypto/bio/libcrypto-shlib-bio_cb.c,0,0,0,0
crypto/dsa/libcrypto-lib-dsa_vrf.c,0,0,0,0
test/helpers/cmp_asn_test-bin-cmp_testlib.c,0,1,0,1
ssl/libssl-shlib-ssl_txt.c,0,0,5,0
crypto/x509/libcrypto-shlib-v3_battcons.c,1,0,0,1
crypto/md5/liblegacy-lib-md5_one.c,0,0,0,0
crypto/bn/libcrypto-shlib-rsaz-3k-avxifma.c,0,0,2,0
test/buildtest_c_pem-bin-buildtest_pem.c,0,0,0,0
crypto/rsa/libcrypto-lib-rsa_gen.c,4,2,2,6
crypto/x509/libcrypto-lib-x_exten.c,0,0,0,0
crypto/thread/libcrypto-lib-internal.c,0,0,1,0
crypto/evp/libcrypto-shlib-p_sign.c,0,0,0,0
crypto/x509/libcrypto-shlib-pcy_cache.c,0,0,1,0
crypto/des/libcrypto-shlib-fcrypt_b.c,0,0,1,0
crypto/sha/libcrypto-shlib-sha1_one.c,0,0,0,0
test/ml_kem_internal_test-bin-ml_kem_internal_test.c,0,0,1,0
crypto/rsa/libcrypto-shlib-rsa_crpt.c,0,0,0,0
crypto/asn1/libcrypto-shlib-a_gentm.c,0,0,0,0
ssl/libssl-shlib-s3_enc.c,0,0,4,0
crypto/x509/libcrypto-lib-x_pubkey.c,0,0,0,0
crypto/slh_dsa/libcrypto-shlib-slh_dsa_key.c,0,0,0,0
ssl/statem/libssl-lib-statem.c,0,0,0,0
test/sparse_array_test-bin-sparse_array_test.c,0,1,7,1
test/helpers/dtls_mtu_test-bin-ssltestlib.c,4,7,12,11
crypto/bio/libcrypto-lib-bss_conn.c,0,0,2,0
crypto/aes/libcrypto-shlib-aes_ige.c,0,0,12,0
crypto/des/libcrypto-shlib-ecb3_enc.c,0,0,0,0
crypto/pem/libcrypto-shlib-pem_sign.c,0,0,0,0
crypto/libcrypto-lib-cpuid.c,0,3,2,3
crypto/asn1/libcrypto-shlib-asn1_gen.c,1,2,4,3
test/buildtest_c_md5-bin-buildtest_md5.c,0,0,0,0
crypto/x509/libcrypto-shlib-v3_pcons.c,1,0,0,1
crypto/evp/libcrypto-shlib-e_aes_cbc_hmac_sha256.c,5,2,7,7
crypto/bio/libcrypto-lib-bio_dump.c,0,3,2,3
test/testutil/libtestutil-lib-format_output.c,0,13,13,13
test/bio_enc_test-bin-bio_enc_test.c,6,2,3,8
crypto/bn/libcrypto-lib-bn_gcd.c,0,4,4,4
crypto/rc2/libcrypto-lib-rc2ofb64.c,0,0,1,0
test/ca_internals_test-bin-ca_internals_test.c,0,0,0,0
crypto/aes/libcrypto-lib-aesni-sha256-x86_64.c,0,0,12,0
ssl/record/libssl-lib-rec_layer_s3.c,5,2,10,7
apps/openssl-bin-errstr.c,0,1,1,1
crypto/evp/libcrypto-shlib-e_seed.c,0,0,4,0
providers/implementations/ciphers/liblegacy-lib-cipher_desx_hw.c,1,0,1,1
crypto/cms/libcrypto-shlib-cms_rsa.c,0,0,0,0
crypto/dso/libcrypto-lib-dso_err.c,0,0,0,0
crypto/x509/libcrypto-shlib-x509_meth.c,0,0,0,0
crypto/des/libcrypto-lib-qud_cksm.c,0,0,2,0
ssl/quic/libssl-lib-quic_demux.c,0,5,3,5
crypto/evp/libcrypto-lib-e_seed.c,0,0,4,0
test/pkey_meth_test-bin-pkey_meth_test.c,2,2,0,4
test/ssl_handshake_rtt_test-bin-ssl_handshake_rtt_test.c,0,0,0,0
crypto/libcrypto-lib-uid.c,0,0,0,0
ssl/rio/libssl-lib-rio_notifier.c,0,1,2,1
crypto/slh_dsa/libcrypto-lib-slh_dsa_key.c,0,0,0,0
providers/implementations/kdfs/libdefault-lib-kbkdf.c,3,2,0,5
test/quic_multistream_test-bin-quic_multistream_test.c,4,4,13,8
providers/implementations/ciphers/libcommon-lib-ciphercommon_ccm.c,0,0,0,0
crypto/dso/libcrypto-lib-dso_win32.c,0,0,0,0
test/danetest-bin-danetest.c,0,3,6,3
test/quic_tserver_test-bin-quic_tserver_test.c,1,2,0,3
crypto/ec/libcrypto-shlib-ec_key.c,0,0,1,0
crypto/libssl-shlib-time.c,0,0,0,0
crypto/dso/libcrypto-lib-dso_lib.c,0,0,0,0
crypto/bn/libcrypto-shlib-bn_word.c,0,0,4,0
crypto/asn1/libcrypto-shlib-a_mbstr.c,0,1,7,1
crypto/dsa/libcrypto-shlib-dsa_gen.c,0,0,0,0
crypto/des/libcrypto-shlib-cfb64ede.c,0,2,4,2
fuzz/pem-test-bin-test-corpus.c,0,1,1,1
crypto/async/libcrypto-shlib-async_wait.c,0,5,3,5
apps/openssl-bin-ecparam.c,0,1,1,1
crypto/property/libcrypto-shlib-property.c,4,2,3,6
crypto/libcrypto-lib-o_init.c,0,0,0,0
ssl/quic/libssl-shlib-qlog.c,2,3,4,5
fuzz/quic-client-test-bin-fuzz_rand.c,0,0,1,0
crypto/des/libcrypto-shlib-fcrypt.c,0,0,2,0
test/pemtest-bin-pemtest.c,0,0,0,0
crypto/libcrypto-shlib-asn1_dsa.c,0,0,0,0
fuzz/client-test-bin-fuzz_rand.c,0,0,1,0
test/ssl_ctx_test-bin-ssl_ctx_test.c,0,0,0,0
crypto/libcrypto-shlib-params.c,1,0,3,1
crypto/des/libcrypto-shlib-des_enc.c,0,0,4,0
