File,for loops,while loops,do-while loops,total
../samples/decompilations/rerolled/crypto bn libcrypto-shlib-bn_nist.c,8,0,4,12
../samples/decompilations/rerolled/test testutil libtestutil-lib-apps_shims.c,0,0,0,0
../samples/decompilations/rerolled/scene resources visual_shader_particle_nodes.linuxbsd.editor.x86_64.c,26,15,47,88
../samples/decompilations/rerolled/crypto x509 libcrypto-shlib-v3_info.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty enet list.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/ssl libssl-shlib-ssl_utst.c,0,0,0,0
../samples/decompilations/rerolled/engines padlock-dso-e_padlock.c,3,1,14,18
../samples/decompilations/rerolled/lib libcoreutils_a-sm3.c,1,0,8,9
../samples/decompilations/rerolled/modules godot_physics_2d godot_body_pair_2d.linuxbsd.editor.x86_64.c,4,6,10,20
../samples/decompilations/rerolled/crypto crmf libcrypto-shlib-crmf_pbm.c,0,0,0,0
../samples/decompilations/rerolled/crypto cmp libcrypto-lib-cmp_hdr.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty libwebp src dsp dec_clip_tables.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty meshoptimizer indexgenerator.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty libwebp src dsp lossless_enc_mips_dsp_r2.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/crypto evp libcrypto-lib-evp_fetch.c,2,0,0,2
../samples/decompilations/rerolled/src operand2sig.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty pcre2 src pcre2_xclass_32.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty harfbuzz src hb-font.linuxbsd.editor.x86_64.c,34,10,19,63
../samples/decompilations/rerolled/crypto dh libcrypto-lib-dh_err.c,0,0,0,0
../samples/decompilations/rerolled/servers rendering renderer_rd effects copy_effects.linuxbsd.editor.x86_64.c,26,22,156,204
../samples/decompilations/rerolled/drivers pulseaudio audio_driver_pulseaudio.linuxbsd.editor.x86_64.c,9,13,12,34
../samples/decompilations/rerolled/core variant variant_parser.linuxbsd.editor.x86_64.c,17,26,82,125
../samples/decompilations/rerolled/crypto asn1 libcrypto-lib-asn1_err.c,0,0,0,0
../samples/decompilations/rerolled/crypto asn1 libcrypto-lib-a_i2d_fp.c,0,0,0,0
../samples/decompilations/rerolled/src dirname.c,0,0,0,0
../samples/decompilations/rerolled/test list_test-bin-list_test.c,0,0,0,0
../samples/decompilations/rerolled/crypto pkcs12 libcrypto-lib-p12_p8e.c,0,0,0,0
../samples/decompilations/rerolled/ssl libssl-shlib-t1_enc.c,0,0,0,0
../samples/decompilations/rerolled/editor project_manager project_list.linuxbsd.editor.x86_64.c,25,38,78,141
../samples/decompilations/rerolled/crypto ec libcrypto-shlib-ec2_oct.c,0,0,0,0
../samples/decompilations/rerolled/editor plugins navigation_link_2d_editor_plugin.linuxbsd.editor.x86_64.c,7,2,11,20
../samples/decompilations/rerolled/modules gltf structures gltf_skin.linuxbsd.editor.x86_64.c,11,20,35,66
../samples/decompilations/rerolled/thirdparty embree kernels geometry primitive4.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/crypto evp libcrypto-lib-s_lib.c,1,0,0,1
../samples/decompilations/rerolled/modules vhacd register_types.linuxbsd.editor.x86_64.c,5,3,9,17
../samples/decompilations/rerolled/test sslapitest-bin-tls-provider.c,14,3,28,45
../samples/decompilations/rerolled/crypto pkcs12 libcrypto-shlib-p12_p8d.c,0,0,0,0
../samples/decompilations/rerolled/test gmdifftest-bin-gmdifftest.c,0,0,0,0
../samples/decompilations/rerolled/editor property_selector.linuxbsd.editor.x86_64.c,14,14,33,61
../samples/decompilations/rerolled/servers display native_menu.linuxbsd.editor.x86_64.c,36,1,27,64
../samples/decompilations/rerolled/crypto ocsp libcrypto-lib-ocsp_vfy.c,0,0,0,0
