bestandsnaam,voor_origineel,voor_kol2,voor_kol3,voor_kol4,voor_kol5,na_origineel,na_kol2,na_kol3,na_kol4,na_kol5
file,File,Repo,File,for loops,while loops,do-while loops,total,File,for/loops,while/loops,do-while/loops,total
src/chcon.c,src/chcon.c,coreutils,src/chcon.c,0,2,0,2,src/chcon.c,0,0,0,0
src/sleep.c,src/sleep.c,coreutils,src/sleep.c,1,0,0,1,src/sleep.c,0,0,0,0
src/timeout.c,src/timeout.c,coreutils,src/timeout.c,0,2,0,2,src/timeout.c,0,0,0,0
src/copy.c,src/copy.c,coreutils,src/copy.c,0,7,0,7,src/copy.c,7,3,7,17
src/tr.c,src/tr.c,coreutils,src/tr.c,25,9,1,34,src/tr.c,3,3,34,40
src/pr.c,src/pr.c,coreutils,src/pr.c,31,13,0,44,src/pr.c,3,12,36,51
src/iopoll.c,src/iopoll.c,coreutils,src/iopoll.c,2,2,0,4,src/iopoll.c,0,0,0,0
src/join.c,src/join.c,coreutils,src/join.c,9,7,3,16,src/join.c,0,0,0,0
src/od.c,src/od.c,coreutils,src/od.c,13,11,4,24,src/od.c,1,7,35,43
src/coreutils-vdir.c,src/coreutils-vdir.c,coreutils,src/coreutils-vdir.c,0,0,0,0,,,,,
src/uname-arch.c,src/uname-arch.c,coreutils,src/uname-arch.c,0,0,0,0,,,,,
src/uname-uname.c,src/uname-uname.c,coreutils,src/uname-uname.c,0,0,0,0,src/uname-uname.c,0,0,0,0
src/mkdir.c,src/mkdir.c,coreutils,src/mkdir.c,0,1,0,1,src/mkdir.c,0,0,0,0
src/dirname.c,src/dirname.c,coreutils,src/dirname.c,1,1,0,2,src/dirname.c,0,0,0,0
src/runcon.c,src/runcon.c,coreutils,src/runcon.c,0,1,0,1,src/runcon.c,0,0,0,0
src/version.c,src/version.c,coreutils,src/version.c,0,0,0,0,src/version.c,0,0,0,0
src/shuf.c,src/shuf.c,coreutils,src/shuf.c,10,1,1,11,src/shuf.c,0,0,0,0
src/uptime.c,src/uptime.c,coreutils,src/uptime.c,1,0,0,1,src/uptime.c,0,0,0,0
src/chown.c,src/chown.c,coreutils,src/chown.c,0,1,0,1,src/chown.c,0,0,0,0
src/false.c,src/false.c,coreutils,src/false.c,0,0,0,0,src/false.c,0,0,0,0
src/force-link.c,src/force-link.c,coreutils,src/force-link.c,0,0,0,0,src/force-link.c,0,0,0,0
src/mv.c,src/mv.c,coreutils,src/mv.c,2,1,0,3,src/mv.c,0,0,0,0
src/test.c,src/test.c,coreutils,src/test.c,2,5,0,7,src/test.c,0,0,0,0
src/basenc.c,src/basenc.c,coreutils,src/basenc.c,7,12,4,19,,,,,
src/make-prime-list.c,src/make-prime-list.c,coreutils,src/make-prime-list.c,6,1,1,7,src/make-prime-list.c,0,0,0,0
src/tac.c,src/tac.c,coreutils,src/tac.c,1,8,0,9,src/tac.c,0,0,0,0
src/stty.c,src/stty.c,coreutils,src/stty.c,15,2,0,17,src/stty.c,0,0,0,0
src/chroot.c,src/chroot.c,coreutils,src/chroot.c,1,2,0,3,src/chroot.c,0,0,0,0
src/cksum_avx512.c,src/cksum_avx512.c,coreutils,src/cksum_avx512.c,0,4,0,4,,,,,
src/coreutils.c,src/coreutils.c,coreutils,src/coreutils.c,0,0,0,0,,,,,
src/tsort.c,src/tsort.c,coreutils,src/tsort.c,0,9,1,9,src/tsort.c,0,0,0,0
src/selinux.c,src/selinux.c,coreutils,src/selinux.c,1,0,0,1,src/selinux.c,0,0,0,0
src/kill.c,src/kill.c,coreutils,src/kill.c,6,1,1,7,src/kill.c,0,0,0,0
src/ptx.c,src/ptx.c,coreutils,src/ptx.c,16,15,0,31,src/ptx.c,0,0,0,0
src/cat.c,src/cat.c,coreutils,src/cat.c,1,5,4,6,src/cat.c,0,0,0,0
src/true.c,src/true.c,coreutils,src/true.c,0,0,0,0,src/true.c,0,0,0,0
src/mktemp.c,src/mktemp.c,coreutils,src/mktemp.c,1,1,0,2,src/mktemp.c,0,0,0,0
src/nl.c,src/nl.c,coreutils,src/nl.c,1,3,0,4,src/nl.c,0,0,0,0
src/unexpand.c,src/unexpand.c,coreutils,src/unexpand.c,0,3,1,3,src/unexpand.c,0,0,0,0
src/wc_avx2.c,src/wc_avx2.c,coreutils,src/wc_avx2.c,1,2,0,3,,,,,
src/show-date.c,src/show-date.c,coreutils,src/show-date.c,0,0,0,0,src/show-date.c,0,0,0,0
src/pinky.c,src/pinky.c,coreutils,src/pinky.c,3,6,0,9,src/pinky.c,0,0,0,0
src/sync.c,src/sync.c,coreutils,src/sync.c,1,1,0,2,src/sync.c,0,0,0,0
src/chown-chown.c,src/chown-chown.c,coreutils,src/chown-chown.c,0,0,0,0,src/chown-chown.c,0,0,0,0
