File,for/loops,while/loops,do-while/loops,total
thirdparty/miniupnpc/src/miniupnpc.c,7,6,10,23
thirdparty/brotli/dec/state.c,0,0,0,0
core/object/object.c,17,46,127,190
thirdparty/icu4c/common/unistr_case.c,0,1,0,1
scene/debugger/scene_debugger.c,15,67,161,243
core/io/dtls_server.c,0,0,4,4
modules/openxr/extensions/openxr_ml2_controller_extension.c,0,1,8,9
thirdparty/vhacd/src/VHACD-ASYNC.c,11,0,10,21
thirdparty/meshoptimizer/stripifier.c,2,1,6,9
thirdparty/icu4c/common/normalizer2.c,0,0,0,0
modules/godot_physics_3d/joints/godot_hinge_joint_3d.c,0,4,15,19
thirdparty/icu4c/common/ulocbuilder.c,0,0,0,0
modules/openxr/extensions/openxr_visibility_mask_extension.c,0,2,15,17
thirdparty/vhacd/src/vhacdManifoldMesh.c,0,24,19,43
thirdparty/libwebp/src/dsp/lossless_enc.c,12,2,33,47
thirdparty/jolt_physics/Jolt/Physics/DeterminismLog.c,0,0,0,0
modules/lightmapper_rd/lightmapper_rd.c,18,87,238,343
thirdparty/icu4c/common/ubrk.c,4,0,0,4
thirdparty/basis_universal/encoder/basisu_enc.c,14,26,216,256
thirdparty/harfbuzz/src/hb-ot-cff1-table.c,2,8,42,52
servers/xr/xr_face_tracker.c,7,0,11,18
servers/audio/effects/audio_effect_phaser.c,9,0,20,29
servers/rendering/dummy/storage/material_storage.c,0,44,129,173
editor/plugins/gizmos/audio_listener_3d_gizmo_plugin.c,5,0,6,11
thirdparty/misc/smolv.c,7,6,70,83
editor/editor_folding.c,11,4,24,39
thirdparty/mbedtls/library/psa_crypto_storage.c,0,0,0,0
modules/tinyexr/image_loader_tinyexr.c,3,1,10,14
thirdparty/thorvg/src/renderer/tvgPicture.c,0,0,0,0
drivers/windows/net_socket_winsock.c,0,0,0,0
scene/2d/multimesh_instance_2d.c,17,7,35,59
modules/interactive_music/editor/audio_stream_interactive_editor_plugin.c,19,11,32,62
editor/plugins/debugger_editor_plugin.c,4,2,8,14
modules/xatlas_unwrap/register_types.c,0,0,3,3
servers/rendering/rendering_context_driver.c,0,7,10,17
thirdparty/icu4c/common/ucnv_u32.c,0,0,0,0
servers/rendering/renderer_rd/environment/gi.c,17,27,147,191
thirdparty/mbedtls/library/ecdh.c,1,0,0,1
scene/gui/graph_element.c,5,2,14,21
thirdparty/libwebp/src/enc/vp8l_enc.c,13,5,37,55
platform/linuxbsd/joypad_linux.c,8,6,24,38
editor/fbx_importer_manager.c,13,4,17,34
scene/gui/texture_progress_bar.c,6,5,15,26
thirdparty/mbedtls/library/ecp.c,0,25,34,59
thirdparty/graphite/src/Face.c,0,0,8,8
editor/gui/editor_version_button.c,7,0,9,16
thirdparty/icu4c/common/uset_props.c,0,0,0,0
scene/3d/spring_bone_collision_capsule_3d.c,5,0,12,17
thirdparty/glslang/glslang/MachineIndependent/preprocessor/PpContext.c,9,0,3,12
main/main_timer_sync.c,0,1,4,5
core/extension/extension_api_dump.c,39,35,158,232
servers/physics_server_3d_wrap_mt.c,2,2,39,43
thirdparty/astcenc/astcenc_diagnostic_trace.c,0,0,0,0
thirdparty/harfbuzz/src/hb-draw.c,0,3,5,8
scene/3d/soft_body_3d.c,9,17,57,83
thirdparty/libpng/pngwio.c,0,0,0,0
platform/windows/export/export_plugin.c,7,10,41,58
thirdparty/miniupnpc/src/miniwget.c,0,7,8,15
thirdparty/zstd/compress/zstd_ldm.c,6,6,15,27
modules/openxr/action_map/openxr_action.c,5,3,18,26
thirdparty/jolt_physics/Jolt/TriangleSplitter/TriangleSplitterLongestAxis.c,0,0,2,2
thirdparty/jolt_physics/Jolt/Physics/Collision/PhysicsMaterialSimple.c,0,0,0,0
thirdparty/astcenc/astcenc_decompress_symbolic.c,0,1,11,12
thirdparty/libwebp/src/enc/quant_enc.c,4,4,35,43
modules/ogg/register_types.c,4,0,9,13
thirdparty/pcre2/src/pcre2_match_16.c,8,20,124,152
servers/xr/xr_hand_tracker.c,9,0,14,23
thirdparty/harfbuzz/src/hb-icu.c,0,0,0,0
