File,for loops,while loops,do-while loops,total loops,total nodes
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-dtoastr.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-freadseek.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib glthread libcoreutils_a-lock.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib glthread libcoreutils_a-threadlib.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-chdir-long.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-read-file.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledgnulib-tests bench_crc-bench-crc.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-xbinary-io.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-fseek.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-xmalloc.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-getndelim2.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledsrc force-link.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-btoc32.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledsrc groups.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-open-safer.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-strintcmp.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-fopen-safer.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-full-write.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledgnulib-tests vma-iter.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib unictype libcoreutils_a-ctype_graph.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-cl-strtold.c,0,0,0,0,1
