File,for loops,while loops,do-while loops,total
../samples/decompilations/rerolled/openssl/crypto modes libcrypto-lib-cfb128.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto ec libcrypto-lib-ec_kmeth.c,0,0,0,0
../samples/decompilations/rerolled/openssl/apps lib ca_internals_test-bin-engine.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto libcrypto-shlib-cryptlib.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto engine libcrypto-lib-eng_fat.c,0,0,0,0
../samples/decompilations/rerolled/openssl/providers implementations keymgmt libdefault-lib-dsa_kmgmt.c,0,0,0,0
../samples/decompilations/rerolled/openssl/engines dasync-dso-e_dasync.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto des libcrypto-shlib-ofb64ede.c,2,0,1,3
../samples/decompilations/rerolled/openssl/fuzz quic-lcidm-test-bin-test-corpus.c,0,0,0,0
../samples/decompilations/rerolled/openssl/providers implementations ciphers liblegacy-lib-cipher_rc2.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto x509 libcrypto-shlib-x509spki.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto evp libcrypto-shlib-c_alld.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto aria libcrypto-shlib-aria.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto engine libcrypto-shlib-eng_fat.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto rsa libcrypto-lib-rsa_gen.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto x509 libcrypto-lib-x_ietfatt.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto modes libcrypto-lib-cts128.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto evp libcrypto-lib-skeymgmt_meth.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto dh libcrypto-lib-dh_kdf.c,0,0,0,0
../samples/decompilations/rerolled/openssl/test helpers quicapitest-bin-quictestlib.c,1,1,11,13
../samples/decompilations/rerolled/openssl/crypto libcrypto-shlib-param_build_set.c,0,0,0,0
../samples/decompilations/rerolled/openssl/ssl record methods libssl-shlib-dtls_meth.c,4,2,1,7
../samples/decompilations/rerolled/openssl/providers implementations asymciphers libdefault-lib-sm2_enc.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto dh libcrypto-shlib-dh_pmeth.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto bn libcrypto-lib-bn_div.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto bn libcrypto-lib-rsaz-4k-avx512.c,4,0,2,6
../samples/decompilations/rerolled/openssl/crypto modes libcrypto-lib-ofb128.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto rsa libcrypto-shlib-rsa_pmeth.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto camellia libcrypto-lib-cmll_misc.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto x509 libcrypto-shlib-pcy_node.c,0,0,0,0
../samples/decompilations/rerolled/openssl/test testutil libtestutil-lib-output.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto kdf libcrypto-shlib-kdf_err.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto asn1 libcrypto-shlib-a_digest.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto libcrypto-shlib-passphrase.c,0,0,0,0
../samples/decompilations/rerolled/openssl/fuzz acert-test-bin-test-corpus.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto bio libcrypto-lib-bss_null.c,0,0,0,0
../samples/decompilations/rerolled/openssl/test keymgmt_internal_test-bin-keymgmt_internal_test.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto asn1 libcrypto-lib-n_pkey.c,0,0,0,0
../samples/decompilations/rerolled/openssl/fuzz cmp-test-bin-cmp.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto cmp libcrypto-shlib-cmp_genm.c,4,0,3,7
../samples/decompilations/rerolled/openssl/crypto bn libcrypto-shlib-rsaz-2k-avxifma.c,0,0,0,0
../samples/decompilations/rerolled/openssl/providers libcrypto-shlib-prov_running.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto asn1 libcrypto-lib-bio_asn1.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto hmac libcrypto-shlib-hmac.c,0,0,0,0
../samples/decompilations/rerolled/openssl/test quic_record_test-bin-quic_record_test.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto evp libcrypto-lib-e_old.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto modes libcrypto-lib-cbc128.c,2,0,3,5
../samples/decompilations/rerolled/openssl/ssl quic libssl-shlib-quic_channel.c,16,4,10,30
../samples/decompilations/rerolled/openssl/crypto evp libcrypto-shlib-skeymgmt_meth.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto slh_dsa libcrypto-lib-slh_wots.c,4,0,9,13
../samples/decompilations/rerolled/openssl/crypto evp libcrypto-lib-signature.c,0,0,0,0
../samples/decompilations/rerolled/openssl/test pairwise_fail_test-bin-pairwise_fail_test.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto asn1 asn1_time_test-bin-a_time.c,0,0,0,0
../samples/decompilations/rerolled/openssl/ssl libssl-shlib-ssl_conf.c,1,1,8,10
../samples/decompilations/rerolled/openssl/crypto encode_decode libcrypto-shlib-encoder_lib.c,0,0,0,0
../samples/decompilations/rerolled/openssl/test constant_time_test-bin-constant_time_test.c,0,0,0,0
../samples/decompilations/rerolled/openssl/providers implementations keymgmt libdefault-lib-ml_dsa_kmgmt.c,0,0,0,0
../samples/decompilations/rerolled/openssl/test buildtest_c_types-bin-buildtest_types.c,0,0,0,0
../samples/decompilations/rerolled/openssl/providers implementations ciphers libdefault-lib-cipher_aes_cbc_hmac_sha256_hw.c,11,3,7,21
../samples/decompilations/rerolled/openssl/ssl quic libssl-lib-quic_tls_api.c,0,0,0,0
../samples/decompilations/rerolled/openssl/test ext_internal_test-bin-ext_internal_test.c,0,0,0,0
../samples/decompilations/rerolled/openssl/ssl record libssl-shlib-rec_layer_s3.c,0,0,0,0
../samples/decompilations/rerolled/openssl/providers implementations ciphers libdefault-lib-cipher_aes_ccm.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto slh_dsa libcrypto-shlib-slh_dsa.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto encode_decode libcrypto-lib-decoder_pkey.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto bio libcrypto-shlib-bf_buff.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto dso libcrypto-lib-dso_win32.c,0,0,0,0
../samples/decompilations/rerolled/openssl/test quic_tserver_test-bin-quic_tserver_test.c,0,0,0,0
../samples/decompilations/rerolled/openssl/providers common der libcommon-lib-der_ec_sig.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto bio libcrypto-lib-bss_file.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto evp libcrypto-shlib-evp_lib.c,1,0,0,1
../samples/decompilations/rerolled/openssl/crypto cms libcrypto-shlib-cms_lib.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto evp libcrypto-lib-e_rc2.c,0,0,0,0
../samples/decompilations/rerolled/openssl/test packettest-bin-packettest.c,0,0,0,0
../samples/decompilations/rerolled/openssl/fuzz x509-test-bin-x509.c,0,0,0,0
../samples/decompilations/rerolled/openssl/providers implementations digests libdefault-lib-sha3_prov.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto sha libcrypto-lib-sha256-mb-x86_64.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto ec libcrypto-shlib-ec_kmeth.c,0,0,0,0
../samples/decompilations/rerolled/openssl/test siphash_internal_test-bin-siphash_internal_test.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto evp libcrypto-lib-e_chacha20_poly1305.c,3,2,5,10
../samples/decompilations/rerolled/openssl/providers implementations ciphers libdefault-lib-cipher_aria_ccm.c,0,0,0,0
../samples/decompilations/rerolled/openssl/ssl quic libssl-shlib-quic_rcidm.c,16,3,1,20
../samples/decompilations/rerolled/openssl/crypto sha libcrypto-shlib-sha1-x86_64.c,0,0,0,0
../samples/decompilations/rerolled/openssl/ssl quic libssl-lib-quic_reactor.c,0,0,0,0
../samples/decompilations/rerolled/openssl/ssl quic libssl-shlib-quic_fc.c,1,0,0,1
../samples/decompilations/rerolled/openssl/test quic_cfq_test-bin-quic_cfq_test.c,0,0,0,0
../samples/decompilations/rerolled/openssl/test recordlentest-bin-recordlentest.c,0,0,0,0
../samples/decompilations/rerolled/openssl/fuzz decoder-test-bin-fuzz_rand.c,0,0,0,0
../samples/decompilations/rerolled/openssl/test testutil libtestutil-lib-driver.c,0,0,0,0
../samples/decompilations/rerolled/openssl/test ffc_internal_test-bin-ffc_internal_test.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto x509 libcrypto-lib-t_x509.c,0,0,0,0
../samples/decompilations/rerolled/openssl/providers implementations macs libdefault-lib-kmac_prov.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto dsa libcrypto-shlib-dsa_asn1.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto ec libcrypto-shlib-ec_pmeth.c,0,0,0,0
../samples/decompilations/rerolled/openssl/ssl libssl-shlib-ssl_cert_comp.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto evp libcrypto-lib-p_seal.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto cast libcrypto-lib-c_cfb64.c,0,0,0,0
../samples/decompilations/rerolled/openssl/test afalgtest-bin-afalgtest.c,0,0,0,0
../samples/decompilations/rerolled/openssl/test buildtest_c_cast-bin-buildtest_cast.c,0,0,0,0
../samples/decompilations/rerolled/openssl/ssl quic libssl-shlib-quic_trace.c,0,0,0,0
../samples/decompilations/rerolled/openssl/providers implementations kem libdefault-lib-ml_kem_kem.c,0,0,0,0
../samples/decompilations/rerolled/openssl/test endecoder_legacy_test-bin-endecoder_legacy_test.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto evp libcrypto-lib-c_allc.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto dsa libcrypto-lib-dsa_ameth.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto des libcrypto-lib-ofb64ede.c,2,0,1,3
../samples/decompilations/rerolled/openssl/crypto cms libcrypto-lib-cms_lib.c,0,0,0,0
../samples/decompilations/rerolled/openssl/test poly1305_internal_test-bin-poly1305_internal_test.c,0,0,0,0
../samples/decompilations/rerolled/openssl/test bio_addr_test-bin-bio_addr_test.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto x509 libcrypto-lib-x_x509.c,0,0,0,0
