File,for loops,while loops,do-while loops,total loops,total nodes
../samples/decompilations/openssl/crypto rsa libcrypto-shlib-rsa_pmeth.c,0,0,0,0,11474
../samples/decompilations/openssl/crypto camellia libcrypto-lib-cmll_misc.c,0,0,0,0,232
../samples/decompilations/openssl/crypto x509 libcrypto-shlib-pcy_node.c,0,1,1,2,1628
../samples/decompilations/openssl/test testutil libtestutil-lib-output.c,0,0,0,0,1405
../samples/decompilations/openssl/crypto kdf libcrypto-shlib-kdf_err.c,0,0,0,0,17
../samples/decompilations/openssl/crypto asn1 libcrypto-shlib-a_digest.c,0,0,0,0,842
../samples/decompilations/openssl/crypto libcrypto-shlib-passphrase.c,0,0,0,0,3811
../samples/decompilations/openssl/fuzz acert-test-bin-test-corpus.c,0,1,1,2,967
../samples/decompilations/openssl/crypto bio libcrypto-lib-bss_null.c,0,0,0,0,219
../samples/decompilations/openssl/test keymgmt_internal_test-bin-keymgmt_internal_test.c,0,0,2,2,6723
../samples/decompilations/openssl/crypto asn1 libcrypto-lib-n_pkey.c,0,0,0,0,329
../samples/decompilations/openssl/fuzz cmp-test-bin-cmp.c,0,0,0,0,1664
../samples/decompilations/openssl/crypto cmp libcrypto-shlib-cmp_genm.c,3,0,3,6,5703
../samples/decompilations/openssl/crypto bn libcrypto-shlib-rsaz-2k-avxifma.c,0,0,1,1,919
../samples/decompilations/openssl/providers libcrypto-shlib-prov_running.c,0,0,0,0,32
../samples/decompilations/openssl/crypto asn1 libcrypto-lib-bio_asn1.c,0,2,3,5,3985
../samples/decompilations/openssl/crypto hmac libcrypto-shlib-hmac.c,1,0,0,1,4053
../samples/decompilations/openssl/test quic_record_test-bin-quic_record_test.c,3,1,5,9,10317
../samples/decompilations/openssl/crypto evp libcrypto-lib-e_old.c,0,0,0,0,351
../samples/decompilations/openssl/crypto modes libcrypto-lib-cbc128.c,0,0,3,3,8142
../samples/decompilations/openssl/ssl quic libssl-shlib-quic_channel.c,15,4,10,29,48541
../samples/decompilations/openssl/crypto evp libcrypto-shlib-skeymgmt_meth.c,0,1,0,1,2401
../samples/decompilations/openssl/crypto slh_dsa libcrypto-lib-slh_wots.c,0,0,9,9,12713
../samples/decompilations/openssl/crypto evp libcrypto-lib-signature.c,0,1,2,3,11656
